,Date,Item,Issue,Nb_affected_models,Category,Published by,Audience,Recall type,Recall class,Year,Month,Recall Category
14,2023-03-22,Infinity® Central Station,Performance Issue,5.0,Medical Device,"Draeger Medical Systems, Inc.3135 Quarry Road, Telford, Pennsylvania, United States, 18969",Healthcare Professionals,health product recall,Type I,2023,March,Health product
15,2023-03-22,Rayplan and Raystation,Performance Issue,3.0,Medical Device,"Raysearch Laboratories Ab (Publ)Eugeniavagen 18c, Stockholm, Sweden, 11368",Healthcare Professionals,health product recall,Type II,2023,March,Health product
16,2023-03-21,Unauthorized sexual enhancement products may pose serious health risks,Unauthorized Products/Device,16.0,Drugs,Health Canada,General Public,public advisory,,2023,March,Health product
17,2023-03-21,Diclofenac Sodium Micronized:  Out of specification in the affected lot.,Product Quality,2.0,Drugs,Health Canada,General Public,health product recall,Type III,2023,March,Health product
18,2023-03-20,ISTODAX (romidepsin) –  Restricted Access Program,Important Safety Information,1.0,Drugs,Health Canada,Healthcare Professionals,health professional risk communication,,2023,March,Health product
19,2023-03-20,Two lots of cystic fibrosis drug Cayston recalled due to the potential of cracked glass vials,Product Quality,2.0,Drugs,Health Canada,General Public,public advisory,,2023,March,Health product
20,2023-03-17,Surgical Gut - Plain and Absorbable Sutures,Sterility Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type I,2023,March,Health product
21,2023-03-17,Disposable Rotatable Clip Fixing Device,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
22,2023-03-17,Heater-Cooler Unit HCU 40,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
23,2023-03-17,Thermo Scientific™ RAPID™ Hp StAR™,Medical Devices,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
24,2023-03-17,Shortage of Nitroglycerin Sprays in Canada,Supply/Product Withdrawal,4.0,Drugs,Health Canada,Healthcare Professionals,public advisory,,2023,March,Health product
25,2023-03-16,Cardiosave System - Hybrid & Rescue Intra-Aortic Balloon Pump,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
26,2023-03-16,Robikids and Solmux are unauthorized children’s syrups for thinning mucus and may pose serious health risks,Product Safety,3.0,Drugs,Health Canada,General Public,public advisory,,2023,March,Health product
27,2023-03-16,Aqure System,Software/Mechanical/Electrical/Manufacturing Defect,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
28,2023-03-16,Habib™ EndoHPB Catheter,Software/Mechanical/Electrical/Manufacturing Defect,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
29,2023-03-15,BD Bodyguard Microset,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
30,2023-03-16,Habib™ EndoHPB Catheter,Software/Mechanical/Electrical/Manufacturing Defect,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
31,2023-03-15,CT Scan and High Capacity Table,Performance Issue,3.0,Medical Device,"Ge Hangwei Medical Systems Co. Ltd.West Area Of Bldg. No.3, Beijing, Beijing, China, 100176",Healthcare Professionals,health product recall,Type II,2023,March,Health product
32,2023-03-15,BD Bodyguard Microset,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
33,2023-03-15,Cannulated Screw System,Performance Issue,3.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,March,Health product
34,2023-03-15,Durasul Modular Head,Software/Mechanical/Electrical/Manufacturing Defect,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
35,2023-03-15,Express Mini 500 and Pneumostat Chest Drain Valve,Labelling And Packaging,3.0,Medical Device,Health Canada,Industry/Retail/Warehouse,health product recall,Type II,2023,March,Health product
36,2023-03-10,"Safelight Fiber Optic Cable Clear, 5mm X 10ft 3.05m",Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
37,2023-03-10,Eyecee One Preloaded,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
38,2023-03-10,Tempus Pro,Labelling And Packaging,2.0,Medical Device,Health Canada,Industry/Retail/Warehouse,health product recall,Type II,2023,March,Health product
39,2023-03-10,Bard Mission Disposable Core Biopsy Instrument Kit,Software/Mechanical/Electrical/Manufacturing Defect,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
40,2023-03-09,Injetak Adjustable Tip Needle,Sterility Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
41,2023-03-09,Bioplex 2200 Anti-CCP System,Performance Issue,3.0,Medical Device,"Bio-Rad Laboratories, Inc.4000 Alfred Nobel Drive, Hercules, California, United States, 94547",Healthcare Professionals,health product recall,Type II,2023,March,Health product
42,2023-03-09,Da Vinci Surgical Systems,Performance Issue,3.0,Medical Device,"Intuitive Surgical Inc.1266 Kifer Road, Sunnyvale, California, United States, 94086",Healthcare Professionals,health product recall,Type II,2023,March,Health product
43,2023-03-09,Capiox FX25 Hollow Fiber Oxygenator With Integrated Arterial Filter,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
44,2023-03-08,Tantalum Bead 1.00mm,Unauthorized Products/Device,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
45,2023-03-08,ACL Elite Coagulation Analyzers,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
46,2023-03-06,Unauthorized skin lightening products may pose serious health risks,Unauthorized Products/Device,10.0,Drugs,Health Canada,General Public,public advisory,,2023,March,Health product
47,2023-03-03,Attune System - Tibial Insert Fixed Bearing Posterior Stabilized,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
48,2023-03-03,Smartperfusion and 2D perfusion ,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
49,2023-03-03,CAYSTON: Vials may be cracked in affected lots,Product Quality,2.0,Drugs,Health Canada,General Public,health product recall,Type I,2023,March,Health product
50,2023-03-02,Amicus Exchange and Mononuclear Cell Apheresis Kits,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
51,2023-03-02,Monaco,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
52,2023-03-01,"Pommel Walker (Senior, Junior, Mini)",Performance Issue,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,March,Health product
53,2023-03-01,Grafton and Grafton Plus Demineralized Bone Matrix,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
54,2023-03-01,Infinity Occipitocervical Upper Thoracic System Multi Axial Screw,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type I,2023,March,Health product
55,2023-03-01,Unauthorized health products from Kausch International Goods may pose serious health risks,Product Safety,8.0,Drugs,Health Canada,General Public,public advisory,,2023,March,Health product
56,2023-03-01,Heparin Sodium Injection: Out of Specification,Product Quality,2.0,Drugs,Health Canada,General Public,health product recall,Type II,2023,March,Health product
57,2023-03-01,Probiotic Blister: Out of Specification,Product Quality,2.0,Natural Health Products,Health Canada,General Public,health product recall,Type II,2023,March,Health product
58,2023-03-01,ProbioMax 50 Billion: Out of Specification,Product Quality,2.0,Natural Health Products,Health Canada,General Public,health product recall,Type II,2023,March,Health product
59,2023-02-24,Vital Vision Plus Omega 3: Incorrect label for pediatric subpopulation,Labelling And Packaging,2.0,Natural Health Products,Health Canada,General Public,health product recall,Type II,2023,February,Health product
60,2023-02-24,Freestyle Libre 2 App (Android),Performance Issue,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,February,Health product
61,2023-02-24,"Luminos, Uroskop and Axiom Systems",Performance Issue,8.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,February,Health product
62,2023-02-24,Lo-Pro Tracheal Tube Cuffed Murphy Tip,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
63,2023-02-23,Cardiomems Patient and Hospital Electronics System,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
64,2023-02-23,Cardiomems Hospital Electronics System,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
65,2023-02-23,Smartpill Smartbar,Sterility Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
66,2023-02-22,Tracoe Experc Sets,Labelling And Packaging,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
67,2023-02-22,Centricity High Acuity Anesthesia,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
68,2023-02-22,Unauthorized Kobayashi Eyebon Eye Wash seized from Oceanbuy store and removed from website because it may pose serious health risks,Product Safety,2.0,Drugs,Health Canada,General Public,public advisory,,2023,February,Health product
69,2023-02-20,"Unauthorized prescription and controlled drugs seized from two natural food stores in Sudbury, Ontario, because they may pose serious health risks ",Product Safety,6.0,Natural Health Products,Health Canada,General Public,public advisory,,2023,February,Health product
70,2023-02-17,BD Insulin Syringes With The BD Micro-Fine IV Needle,Sterility Issue,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,February,Health product
71,2023-02-17,Cardiosave System - Hybrid & Rescue Intra-Aortic Balloon Pump,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
72,2023-02-17,Ballard Oral Care Swab,Labelling And Packaging,2.0,Medical Device,Health Canada,Industry/Retail/Warehouse,health product recall,Type II,2023,February,Health product
73,2023-02-17,Kirkland Signature Extra Strength Acetaminophen Tablets 500 mg: Out of Specification,Product Quality,2.0,Drugs,Health Canada,General Public,health product recall,Type II,2023,February,Health product
74,2023-02-17,"Unauthorized prescription drug called Solmux removed from sale from Palengke Pinoy store in Camrose, AB, and Facebook store",Product Safety,2.0,Drugs,Health Canada,General Public,public advisory,,2023,February,Health product
75,2023-02-16,Freestyle Libre Sensor Kits,Performance Issue,3.0,Medical Device,"Abbott Diabetes Care Ltd.Range Road, Witney, Oxfordshire, Great Britain, OX290YL",Healthcare Professionals,health product recall,Type II,2023,February,Health product
76,2023-02-16,Transport Strut Hoffmann Lrf,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
77,2023-02-16,Delfia Inducer,Labelling And Packaging,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
78,2023-02-16,"ZEJULA (niraparib) - Update on the Maintenance Treatment in Recurrent Ovarian, Fallopian Tube, or Primary Peritoneal Cancer in the Second or Later Line Setting",Important Safety Information,3.0,Drugs,Health Canada,Healthcare Professionals,health professional risk communication,,2023,February,Health product
79,2023-02-14,Cholester-Aid: Reported adverse reactions,Increased Risk Or New Adverse Events,2.0,Natural Health Products,Health Canada,General Public,health product recall,Type II,2023,February,Health product
80,2023-02-14,AG-BISOPROLOL: Foreign matter,Product Quality,2.0,Drugs,Health Canada,General Public,health product recall,Type II,2023,February,Health product
81,2023-02-13,Jamp-Calcium + Vitamin D 1000 IU: Presence of foreign matter in affected lot.,Product Quality,2.0,Natural Health Products,Health Canada,General Public,health product recall,Type II,2023,February,Health product
82,2023-02-10,"Unauthorized products may pose serious health risks  (June 16, 2022 to February 10, 2023)",Unauthorized Products/Device,175.0,Drugs,Health product - Natural health products,General Public,public advisory,,2023,February,Health product
83,2023-02-10,Simplexa Flu A/B & RSV Direct,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
84,2023-02-10,Quanta Flash Gbm Calibrators,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
85,2023-02-10,Artis Pheno,Performance Issue,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,February,Health product
86,2023-02-09,Heartsine Samaritan Pad 500P,Labelling And Packaging,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,February,Health product
87,2023-02-09,Simplexa Covid-19 Direct,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
88,2023-02-09,Simplexa Covid-19 & Flu A/B Direct,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
89,2023-02-08,Wearable Breast Pumps,Unauthorized Products/Device,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,February,Health product
90,2023-02-08,"Anesthesia Set Flex, Latex Free, Us",Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
91,2023-02-08,Tri-Staple™ 2.0 Black Intelligent Reload,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type I,2023,February,Health product
92,2023-02-08,Minicap Disconnect Cap With Povidone-Iodine,Labelling And Packaging,2.0,Medical Device,Health Canada,General Public,health product recall,Type I,2023,February,Health product
93,2023-02-07,Amitriptyline antidepressant drugs recalled because of a nitrosamine impurity,Microbial Contamination/Contamination,7.0,Drugs,Health Canada,General Public,public advisory,,2023,February,Health product
94,2023-02-07,"Medline 3"" Walker Wheels With Glide Caps",Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
95,2023-02-07,"Aquacel Ag Foam Dressing, Adhesive",Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
96,2023-02-07,2D/3D Mammography Systems,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
97,2023-02-07,"Lina Librata, Endometrial Ablation Device",Labelling And Packaging,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
98,2023-02-07,APO-AMITRIPTYLINE 10mg: NDMA Impurity,Microbial Contamination/Contamination,2.0,Drugs,Health Canada,General Public,health product recall,Type I,2023,February,Health product
99,2023-02-06,Novum IQ Large Volume Pump,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type I,2023,February,Health product
100,2023-02-03,Know the risks: Replacing a healthy natural eye lens with an intraocular eye lens for vision correction,Product Safety,1.0,Medical Device,Health Canada,General Public,public advisory,,2023,February,Health product
101,2023-02-02,Fiber Plus Powder: Affected lots may contain the presence of Cronobacter contamination,Microbial Contamination/Contamination,2.0,Natural Health Products,Health Canada,General Public,health product recall,Type II,2023,February,Health product
102,2023-02-01,Hemashield Gold Knitted Graft,Sterility Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,February,Health product
103,2023-01-31,Hager & Meisinger GmbH Micro Screw,Unauthorized Products/Device,5.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
104,2023-01-31,Celestone Soluspan: Affected lots may contain the presence of foreign matter.,Product Quality,2.0,Drugs,Health Canada,General Public,health product recall,Type II,2023,January,Health product
105,2023-01-31,Elecsys® Troponin T Hs,Performance Issue,3.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,January,Health product
106,2023-01-31,Access 2 Immunoassay Analyzer,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
107,2023-01-26,"Nasal Septal Button, 5-Cm",Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
108,2023-01-26,Flowtriever Retrieval/Aspiration System,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
109,2023-01-26,Beaver Edgeahead Stiletto/Mvr Knife 0.90mm Straight (20g),Labelling And Packaging,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
110,2023-01-25,Cardinal Health™ Jackson-Pratt™ channel drains,Performance Issue,3.0,Medical Device,"Cardinal Health3651 Birchwood Drive, Waukegan, Illinois, United States, 60085",Healthcare Professionals,health product recall,Type II,2023,January,Health product
111,2023-01-25,Statis Dental Handpieces,Performance Issue,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,January,Health product
112,2023-01-24,Novastar Full Face Mask,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type I,2023,January,Health product
113,2023-01-24,"Mas CardioImmune Xl 1 2 3, Mas CardioImmune Xl L",Performance Issue,4.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,January,Health product
114,2023-01-20,RUZURGI (amifampridine) - Authorization Status,Important Safety Information,2.0,Drugs,Health Canada,Healthcare Professionals,health professional risk communication,,2023,January,Health product
115,2023-01-20,"Unauthorized health products removed from sale from More to Shoppe Facebook store and its Edson, Alberta, warehouse",Product Safety,8.0,Drugs,Health Canada,General Public,public advisory,,2023,January,Health product
116,2023-01-19,Hickman And Leonard Lumen CV Catheters,Performance Issue,4.0,Medical Device,"Bard Access Systems, Inc.605 North 5600 West, Salt Lake City, Utah, United States, 84116",Healthcare Professionals,health product recall,Type II,2023,January,Health product
117,2023-01-18,Novaguide Intelligent Ultrasound System,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
118,2023-01-18,Nuzone X2 Synthetic Polychloroprene Sterile Surgical Gloves Powder Free,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
119,2023-01-18,Visiusmatrix 4.0,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
120,2023-01-18,Belzer MPS and Belzer UW: Particulate matter,Product Quality,3.0,Drugs,Health Canada,General Public,health product recall,Type I,2023,January,Health product
121,2023-01-17,EVUSHELD (tixagevimab and cilgavimab for injection) - Risk of Prophylaxis or Treatment Failure due to Antiviral Resistance to specific SARS-CoV-2 Subvariants,Important Safety Information,15.0,Biologic Or Vaccine,Health Canada,Healthcare Professionals,health professional risk communication,,2023,January,Health product
122,2023-01-17,Permanent Life Support and HLS Sets,Sterility Issue,4.0,Medical Device,"Maquet Cardiopulmonary GmbhKehler Strasse 31, Rastatt, Germany, 76437",Healthcare Professionals,health product recall,Type II,2023,January,Health product
123,2023-01-13,Digital TENS/EMS,Unauthorized Products/Device,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
124,2023-01-13,"Cannula, Neonate, Oxygen W/3-Channel Tube 7' - 50/Cs",Labelling And Packaging,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
125,2023-01-12,Somatom X.Cite,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
126,2023-01-11,Medline Custom Procedure Packs - Non-absorbable sutures,Sterility Issue,4.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type I,2023,January,Health product
127,2023-01-05,Immulite 2000 Sytstem Thyroglobulin Assay,Labelling And Packaging,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,January,Health product
128,2023-01-05,Biostop G Bioresorbable Cement Restrictor,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
129,2023-01-05,Kit Cobas 6800/8800  Sars-Cov-2/Flu,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
130,2023-01-05,Covera™ Vascular Covered Stent,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
131,2023-01-04,Affinity Fusion Oxygenators,Performance Issue,9.0,Medical Device,"Medtronic Inc.8200 Coral Sea Street N.E., Mounds View, Minnesota, United States, 55112",Healthcare Professionals,health product recall,Type II,2023,January,Health product
132,2023-01-04,Cardiosave System - Hybrid & Rescue Intra-Aortic Balloon Pump,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
133,2023-01-04,Prehma Disposable Dental Needles,Unauthorized Products/Device,2.0,Medical Device,Health Canada,Industry/Retail/Warehouse,health product recall,Type II,2023,January,Health product
134,2023-01-04,Ortho Vision Analyzers,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
135,2023-01-03,Artis Q and Zee Systems,Performance Issue,6.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,January,Health product
136,2023-01-03,Artis Icono and Pheno Systems,Software/Mechanical/Electrical/Manufacturing Defect,4.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,January,Health product
137,2023-01-03,Magnetom Systems,Performance Issue,10.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,January,Health product
138,2023-01-02,"Oxford Partial Knee System, Fixed Lateral Tibial Construct",Sterility Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,January,Health product
139,2022-12-30,Luminos Agile Max,Performance Issue,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2022,December,Health product
140,2022-12-30,Cardinal Health™ Channel Wound Drains,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
141,2022-12-30,Orise Gel Pack and Procedure Kit,Performance Issue,5.0,Medical Device,Health product - Medical device - General hospital and personal use,General Public,health product recall,Type II,2022,December,Health product
142,2022-12-30,Craniotome,Performance Issue,3.0,Medical Device,"The Anspach Effort Inc.4500 Riverside Dr., Palm Beach Gardens, Florida, United States, 33410",Healthcare Professionals,health product recall,Type II,2022,December,Health product
143,2022-12-30,Nuclear Medicine Systems,Performance Issue,7.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type I,2022,December,Health product
144,2022-12-23,Cobas Infinity Central Lab,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
145,2022-12-23,Luminos And Axiom Footrests,Performance Issue,8.0,Medical Device,Health Canada,General Public,health product recall,Type II,2022,December,Health product
146,2022-12-23,Alinity M System,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
147,2022-12-23,Epoc Blood Analysis System,Performance Issue,3.0,Medical Device,"Siemens Healthcare Limited1577 North Service Road East, Oakville, Ontario, Canada, L6H 0H6",Healthcare Professionals,health product recall,Type II,2022,December,Health product
148,2022-12-22,Cadd Medication Cassette Reservior,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
149,2022-12-22,Airo Mobile Ct System,Labelling And Packaging,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
150,2022-12-22,BC-3600 Auto Hematology Analyzer - BC-3D Hematology Control,Sterility Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
151,2022-12-22,Mahurkar Acute Dual Lumen Catheter Kits,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
152,2022-12-22,Nexgen Complete Knee Solution Stemmed Non-Augment Tibial Comp (Cr/Ps) Option,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
153,2022-12-22,"Teleflex Stylet, Endotracheal Kit and Flexi-Set",Performance Issue,4.0,Medical Device,Health Canada,General Public,health product recall,Type II,2022,December,Health product
154,2022-12-22,99.0 % Oxygen USP - Gas cylinders containing commercial grade oxygen,Product Quality,3.0,Drugs,Health Canada,General Public,health product recall,Type III,2022,December,Health product
155,2022-12-21,RegenKit® BCT-3,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
156,2022-12-21,Stradis Implant Packs,Sterility Issue,6.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
157,2022-12-21,Vanta/Sequentia Lt Clinician Programmer Application,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
158,2022-12-21,Cadd Administration Set,Performance Issue,4.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
159,2022-12-21,Trilogy Ventilators,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type I,2022,December,Health product
160,2022-12-16,Guarded Luer Connector,Labelling And Packaging,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
161,2022-12-16,Rsdl Reactive Skin Decontamination Lotion,Performance Issue,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2022,December,Health product
162,2022-12-16,3T MRI Systems,Performance Issue,4.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type I,2022,December,Health product
163,2022-12-16,Heartware Ventricular Assist System - HVAD Implant Kit,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
164,2022-12-15,Fetal Spiral Electrode,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
165,2022-12-15,Criticool Control Unit,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2022,December,Health product
