,Date,Item,Issue,Nb_affected_models,Category,Published by,Recall type,Audience,Year,Month,Recall Category
16,2023-03-09,YETI Soft Coolers and Gear Case recalled due to potential magnet ingestion hazard ,Ingestion Hazard,5.0,Outdoor Living,Health Canada,consumer product recall,General Public,2023,March,Consumer product
17,2023-03-09,Trustic Epoxy Hardeners recalled due to improper labelling and lack of child-resistant packaging,Labelling And Packaging,11.0,Chemicals,Health Canada,consumer product recall,General Public,2023,March,Consumer product
18,2023-03-07,ACE Windows & Doors Siliconized Acrylic Caulk-White recalled due to improper labelling,Labelling And Packaging,1.0,Chemicals,Health Canada,consumer product recall,General Public,2023,March,Consumer product
19,2023-03-07,ACE Interior Polyurethane Water Based Gloss Finish recalled due to improper labelling,Other,1.0,Chemicals,Health Canada,consumer product recall,General Public,2023,March,Consumer product
20,2023-03-06,P. J. Salvage Children’s Pajamas recalled due to burn hazard ,Burn Hazard,16.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2023,March,Consumer product
21,2023-03-03,Cannabis edibles incorrectly sold as cannabis extracts may lead to overconsumption of Delta-9-tetrahydrocannabinol (THC),Labelling And Packaging,2.0,Cannabis/Vaping/Tobacco products,Health Canada,public advisory,General Public,2023,March,Consumer product
22,2023-03-02,Patagonia Infant Capilene Midweight Base Layer Set recalled due to choking hazard ,Choking Hazard,4.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2023,March,Consumer product
23,2023-03-02,Anji Guotai Office Chair Recalled due to Fall Hazard ,Fall Hazard,5.0,Household Items,Health Canada,consumer product recall,General Public,2023,March,Consumer product
24,2023-03-02,DR Power Equipment PRO XL501 Chipper Shredder recalled due to laceration hazard,Laceration Hazard,4.0,Other,Health Canada,consumer product recall,General Public,2023,March,Consumer product
25,2023-03-01,Health Canada warns that Child Secure Seatbelt Vests and Toddler Child Car Booster Seats may pose an injury hazard,Injury Hazard,1.0,Other,Health Canada,consumer product advisory,General Public,2023,March,Consumer product
26,2023-02-28,"Expanded Recall: Yardworks 15-Amp Electric Corded Snowblower, 22-in recalled due to Electric Shock Hazard ",Electrical Hazard,12.0,Tools And Accessories,Health Canada,consumer product recall,General Public,2023,February,Consumer product
27,2023-02-27,ArtResin Alcohol Ink Sinker recalled due to improper labelling ,Labelling And Packaging,1.0,Chemicals,Health Canada,consumer product recall,General Public,2023,February,Consumer product
28,2023-02-24,Rechargeable LED Armband Reflective Running Gear recalled due to flammability hazard ,Flammability Hazard,5.0,Electronics,Health Canada,consumer product recall,General Public,2023,February,Consumer product
29,2023-02-23,Certain models of Cosori-branded Air Fryers recalled due to potential fire hazard ,Fire Hazard,22.0,Appliances,Health Canada,consumer product recall,General Public,2023,February,Consumer product
30,2023-02-23,Lancaster Table & Seating Brand High Chairs recalled due to Fall Hazard ,Fall Hazard,9.0,Specialized Products,Health Canada,consumer product recall,General Public,2023,February,Consumer product
31,2023-02-23,SCARPA F1 LT and F1 GT ski boots recalled due to fall hazard  ,Fall Hazard,5.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2023,February,Consumer product
32,2023-02-23,XDEEP NX700 scuba regulator recalled due potential injury or drowning hazard,Drowning Hazard,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2023,February,Consumer product
33,2023-02-23,Anker 535 Power Bank (PowerCore 20K) A1366 recalled due to fire hazard,Fire Hazard,2.0,Electronics,Health Canada,consumer product recall,General Public,2023,February,Consumer product
34,2023-02-17,Health Canada warns that Dr. Crafty branded epoxy kits may pose an injury hazard due to improper labelling ,Chemical Hazard,1.0,Chemicals,Health Canada,consumer product advisory,General Public,2023,February,Consumer product
35,2023-02-16,"Kids Preferred Recalls Disney Baby ""My First"" Vinyl Figurines due to Choking Hazard",Choking Hazard,7.0,Toys And Games,Health Canada,consumer product recall,General Public,2023,February,Consumer product
36,2023-02-09,Skip Hop Silver Lining Activity Gym  recalled due to potential choking hazard ,Choking Hazard,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2023,February,Consumer product
37,2023-02-09,Ovation Protégé Equestrian Helmets recalled due to Impact Injury Hazard ,Impact Hazard,5.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2023,February,Consumer product
38,2023-02-09,Certain LiftMaster garage door control panels recalled due to potential entrapment hazard,Entrapment Hazard,10.0,Other,Health Canada,consumer product recall,General Public,2023,February,Consumer product
39,2023-02-08,"Fabuloso Multi-Purpose Cleaner - Lavender Scent, 1.65L recalled due to potential for microbial contamination ",Microbial Hazard,3.0,Chemicals,Health Canada,consumer product recall,General Public,2023,February,Consumer product
40,2023-02-08,Peace Naturals Project Inc. recalls two lots of Spinach GMO Cookies dried cannabis pre-rolls,Labelling And Packaging,3.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2023,February,Consumer product
41,2023-02-08,Ove Decors Vanessa Fire Table recalled due to Fire Hazard,Fire Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2023,February,Consumer product
42,2023-02-01,Helly Hansen sweaters and hoodies recalled due to Flammability Hazard ,Flammability Hazard,652.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2023,February,Consumer product
43,2023-02-01,Resinate Epoxy Hardener recalled due to lack of child-resistant packaging,Labelling And Packaging,1.0,Chemicals,Health Canada,consumer product recall,General Public,2023,February,Consumer product
44,2023-01-31,"Various Indigo-Branded Ceramic Mugs, Mug Ornaments, and Houseware Products Recalled due to Mould Contamination",Microbial Hazard,13.0,Household Items,Health Canada,consumer product recall,General Public,2023,January,Consumer product
45,2023-01-31,Peace Naturals Project Inc. recalls one lot of Spinach Feelz Tropical Diesel CBG (Chill Bliss) infused pre-rolls cannabis extract ,Labelling And Packaging,2.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2023,January,Consumer product
46,2023-01-27,WARN® Handheld Wireless/Corded Remote Control for VR EVO Winches recalled due to injury hazard,Injury Hazard,8.0,Electronics,Health Canada,consumer product recall,General Public,2023,January,Consumer product
47,2023-01-26,"ZLINE 30-inch, 36-inch, and 48-inch RG gas ranges recalled due to risk of Carbon Monoxide Poisoning",Injury Hazard,15.0,Appliances,Health Canada,consumer product recall,General Public,2023,January,Consumer product
48,2023-01-25,Certain Ortal TR90 and TR110 Gas Fireplaces recalled Due To Fire Hazard,Fire Hazard,9.0,Appliances,Health Canada,consumer product recall,General Public,2023,January,Consumer product
49,2023-01-19,Hot Chocolate Pots recalled due to Fire Hazard ,Fire Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2023,January,Consumer product
50,2023-01-12,BISSELL® Cordless Multi-Surface Wet Dry Vacuums recalled due to fire hazard,Fire Hazard,2.0,Household Items,Health Canada,consumer product recall,General Public,2023,January,Consumer product
51,2023-01-12,Certain LG 86-Inch Free-Standing Smart TVs and Stands Recalled Due to Tip-Over and Entrapment Hazards ,Entrapment Hazard,11.0,Household Items,Health Canada,consumer product recall,General Public,2023,January,Consumer product
52,2023-01-12,Salewa Alp Trainer 2 Mid GTX hiking boots recalled due to fall hazard,Fall Hazard,6.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2023,January,Consumer product
53,2023-01-12,"Giant Tiger brands Sleepwear, Men’s Sherpa Robes, Pajar Ski Pants and Men’s Ski Pants recalled due to the presence of Mold  ",Microbial Hazard,5.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2023,January,Consumer product
54,2023-01-12,IKEA LETTAN Mirror recalled due to injury hazard ,Injury Hazard,16.0,Household Items,Health Canada,consumer product recall,General Public,2023,January,Consumer product
55,2023-01-05,Quality Bicycle Products Recalls select Carbon Handlebars and Bicycles due to Injury Hazard ,Injury Hazard,12.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2023,January,Consumer product
56,2023-01-05,Mombella Mini Mushroom Soothing Teether recalled due to suffocation hazard ,Injury Hazard,5.0,Other,Health Canada,consumer product recall,General Public,2023,January,Consumer product
57,2022-12-29,Various Spirit Police Uniform Costume Hats recalled due chemical hazard,Chemical Hazard,11.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,December,Consumer product
58,2022-12-28,KLIM Backcountry Probe A300 recalled due to risk of malfunction during an emergency ,Injury Hazard,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,December,Consumer product
59,2022-12-22,Various Bassinets and Change Tables for Harmony Play & Go Playards recalled due to potential suffocation and entrapment hazards ,Entrapment Hazard,7.0,Household Items,Health Canada,consumer product recall,General Public,2022,December,Consumer product
60,2022-12-22,Nomad Battery-Powered Tankless Diving Systems recalled due to drowning hazard ,Drowning Hazard,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,December,Consumer product
61,2022-12-22,Janod Sweet Cocoon Activity Table recalled due to choking hazard,Choking Hazard,7.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,December,Consumer product
62,2022-12-21,ODGER Swivel Chair recalled due to fall hazard,Fall Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2022,December,Consumer product
63,2022-12-15,Sundance Spas and Jacuzzi Hot Tubs recalled due to burn hazard,Burn Hazard,8.0,Specialized Products,Health Canada,consumer product recall,General Public,2022,December,Consumer product
64,2022-12-15,SIMU DMI6 HZ01 motors for window coverings recalled due to electric shock hazard ,Electrical Hazard,5.0,Household Items,Health Canada,consumer product recall,General Public,2022,December,Consumer product
65,2022-12-15,Crate and Kids Thornhill Crib recalled due to potential fall and entrapment hazards ,Entrapment Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2022,December,Consumer product
66,2022-12-14,Weed Me Inc. recalls one lot of Diamond District Sativa Pre-Rolls Cannabis Extract,Labelling And Packaging,2.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2022,December,Consumer product
67,2022-12-13,Zoli binki T. Pacifier + Teether Recalled Due to Choking Hazard,Choking Hazard,9.0,Other,Health Canada,consumer product recall,General Public,2022,December,Consumer product
68,2022-12-12,Westinghouse branded Current Taps with Surge Protector recalled due to Fire Hazard ,Fire Hazard,9.0,Electronics,Health Canada,consumer product recall,General Public,2022,December,Consumer product
69,2022-12-12,"TAG brand hooded, padded jacket recalled due to choking hazard ",Choking Hazard,12.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,December,Consumer product
70,2022-12-08,Dooya External Battery for Cordless Window Blinds recalled due to fire hazard,Fire Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2022,December,Consumer product
71,2022-12-08,Scotch™ Thermal Laminator TL1302 recalled due to potential fire hazard,Other,4.0,Other,Health Canada,consumer product recall,General Public,2022,December,Consumer product
72,2022-12-08,"Vantage Special (Vantage Spécial), King Size, 25 cigarettes recalled due to Fire Hazard",Fire Hazard,3.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2022,December,Consumer product
73,2022-12-06,LE Econo Cord and Mogul Socket Set Assembly 300V and 600V Recalled due to lack of Canadian Electrical Certification posing an electrical hazard.,Electrical Hazard,1.0,Electronics,Health Canada,consumer product recall,General Public,2022,December,Consumer product
74,2022-12-05,Puduo Epoxy Resin recalled due to improper labelling and lack of child-resistant packaging,Labelling And Packaging,4.0,Chemicals,Health Canada,consumer product recall,General Public,2022,December,Consumer product
75,2022-12-02,"METALLISK Espresso maker for cooktop, 0.4 l stainless steel recalled due to burn and injury hazards ",Burn Hazard,3.0,Household Items,Health Canada,consumer product recall,General Public,2022,December,Consumer product
76,2022-12-02,Lamaze Chill Teether recalled due to microbial contamination,Microbial Hazard,4.0,Other,Health Canada,consumer product recall,General Public,2022,December,Consumer product
77,2022-12-01,Discovery Cubes Animal Hide and Seek toy recalled due to choking and ingestion hazard ,Choking Hazard,2.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,December,Consumer product
78,2022-12-01,H for Happy™ 50- Count LED Basic Christmas String Lights in White recalled due to electric shock hazard ,Electrical Hazard,2.0,Household Items,Health Canada,consumer product recall,General Public,2022,December,Consumer product
79,2022-12-01,Cuisinart Compact Blender & Juice Extractor Combo recalled due to injury hazard ,Injury Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2022,December,Consumer product
80,2022-12-01,Draw-Tite 1 7/8” Chrome Hitch Ball sold by Subaru Canada recalled due to injury hazard,Injury Hazard,4.0,Other,Health Canada,consumer product recall,General Public,2022,December,Consumer product
81,2022-12-01,The Laundress brand laundry and household cleaning products recalled due to risk of exposure to bacteria ,Microbial Hazard,7.0,Chemicals,Health Canada,consumer product recall,General Public,2022,December,Consumer product
82,2022-12-01,Anti-fog reactivator for swimming goggles by Nabaiji recalled due to lack of appropriate labelling ,Labelling And Packaging,1.0,Chemicals,Health Canada,consumer product recall,General Public,2022,December,Consumer product
83,2022-11-29,"Brizled Orange Lights, 100 Count Halloween Lights recalled due to electric shock hazard",Electrical Hazard,3.0,Household Items,Health Canada,consumer product recall,General Public,2022,November,Consumer product
84,2022-11-28,60 LED Mini-Style Lights recalled due to electric shock hazard ,Electrical Hazard,2.0,Household Items,Health Canada,consumer product recall,General Public,2022,November,Consumer product
85,2022-11-25,My First Words cube by Placote recalled due to chemical hazard,Chemical Hazard,3.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,November,Consumer product
86,2022-11-23,Indigo Branded Papa Bear and Mama Bear Mugs Recalled due to Burn and Laceration Hazards ,Burn Hazard,3.0,Household Items,Health Canada,consumer product recall,General Public,2022,November,Consumer product
87,2022-11-23,Health Canada orders Elfe Juvenile Products to recall Nûby 3-Pack Ring Chill kool Soother Teether model 537169 (lot M2K18V),Microbial Hazard,2.0,Other,Health Canada,consumer product recall,General Public,2022,November,Consumer product
88,2022-11-18,HyperJuice Stackable GaN USB-C Chargers recalled due to Fire Hazard ,Fire Hazard,3.0,Electronics,Health Canada,consumer product recall,General Public,2022,November,Consumer product
89,2022-11-18,HyperJuice 130W USB-C Battery Pack recalled due to Fire Hazard ,Fire Hazard,3.0,Electronics,Health Canada,consumer product recall,General Public,2022,November,Consumer product
90,2022-11-17,Professor Puzzle Rainbow Stacker toy recalled due to choking hazard ,Choking Hazard,3.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,November,Consumer product
91,2022-11-17,Carter’s One-Piece Fleece Footed Pyjama recalled due to Possible Skin Puncture/Scratch Hazard ,Physical Hazard,4.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,November,Consumer product
92,2022-11-16,Various Goalsetter Wall-Mounted Basketball Goals recalled due to impact injury hazard and risk of death to consumers,Injury Hazard,4.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,November,Consumer product
93,2022-11-15,Swift Industries 9’’ black rubber straps recalled due to injury hazard ,Injury Hazard,2.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,November,Consumer product
94,2022-11-14,Various Lauren Taylor and Studio 707 corded window coverings recalled due to strangulation hazard to children ,Strangulation Hazard,9.0,Household Items,Health Canada,consumer product recall,General Public,2022,November,Consumer product
95,2022-11-14,"Primo Resin Deep Pour, Table Top & Bar and Arts & Crafts epoxy kit hardeners recalled due to improper labelling and lack of child-resistant packaging",Chemical Hazard,3.0,Chemicals,Health Canada,consumer product recall,General Public,2022,November,Consumer product
96,2022-11-10,  Update: Generac and DR Portable Generators Recalled due to Finger Amputation and Crush Hazards ,Physical Hazard,9.0,Household Items,Health Canada,consumer product recall,General Public,2022,November,Consumer product
97,2022-11-08,Various Thule Camber and Thule Range hitch bike carriers recalled due to injury hazard ,Injury Hazard,4.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,November,Consumer product
98,2022-11-07,Various Ekouaer brand Children’s Sleepwear recalled due to Flammability hazard ,Flammability Hazard,5.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,November,Consumer product
99,2022-11-03,Got Launch Traction Liquid recalled due to lack of appropriate labelling ,Labelling And Packaging,2.0,Chemicals,Health Canada,consumer product recall,General Public,2022,November,Consumer product
100,2022-11-03,"Various ""Breeze"" style shoes by C. & J. Clark Canada Limited recalled due to potential chemical hazard",Chemical Hazard,4.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,November,Consumer product
101,2022-11-03,MYX II Stationary Exercise Bikes recalled due to injury hazard,Injury Hazard,7.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,November,Consumer product
102,2022-11-02,Electrimart Mini Feed Thru Cord Switch recalled due to electric shock hazard,Electrical Hazard,1.0,Tools And Accessories,Health Canada,consumer product recall,General Public,2022,November,Consumer product
103,2022-11-02,Thermomix TM6 Measuring Cup Instructions recalled due to potential burn hazard,Burn Hazard,11.0,Appliances,Health Canada,consumer product recall,General Public,2022,November,Consumer product
104,2022-11-02,"TAG brand hooded, padded jacket with Sherpa lining recalled due to choking hazard",Choking Hazard,12.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,November,Consumer product
105,2022-11-02,Future Motion recalls footpads for Onewheel GT Electric Skateboards due to bystander injury hazard ,Injury Hazard,3.0,Other,Health Canada,consumer product recall,General Public,2022,November,Consumer product
106,2022-10-28,Body Glove Tandem Inflatable 2-Person Paddleboard recalled due to potential drowning hazard,Drowning Hazard,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,October,Consumer product
107,2022-10-27,Horizon T101-05 Folding Treadmills recalled due to fall hazard,Injury Hazard,3.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,October,Consumer product
108,2022-10-27,Amazon Basics High Back Executive Desk Chairs recalled due to Fall Hazard,Fall Hazard,3.0,Household Items,Health Canada,consumer product recall,General Public,2022,October,Consumer product
109,2022-10-27,King Song KS-16S Electric Unicycle Battery recalled due to fire hazard ,Fire Hazard,1.0,Electronics,Health Canada,consumer product recall,General Public,2022,October,Consumer product
110,2022-10-27,BoxHot Glow Sticks Battery recalled due to fire hazard ,Fire Hazard,1.0,Tools And Accessories,Health Canada,consumer product recall,General Public,2022,October,Consumer product
111,2022-10-27,Pine-Sol® Scented Multi-Surface Cleaners recalled due to Risk of Exposure to Bacteria,Microbial Hazard,11.0,Chemicals,Health Canada,consumer product recall,General Public,2022,October,Consumer product
112,2022-10-25,Spirit Signature Collection Kids Majestic Unicorn Costume recalled due to choking and ingestion hazard,Choking Hazard,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,October,Consumer product
113,2022-10-20,"Mittal International Brand Chenille Weave Baby Blankets in various colours recalled due to entrapment, strangulation and choking hazards",Choking Hazard,9.0,Other,Health Canada,consumer product recall,General Public,2022,October,Consumer product
114,2022-10-20,Meguiar’s Heavy Duty Headlight Restoration Kit recalled due to lack of child-resistant packaging,Labelling And Packaging,4.0,Chemicals,Health Canada,consumer product recall,General Public,2022,October,Consumer product
115,2022-10-19,300 piece Army Action Figure Set by Juvo Plus recalled due to the presence of lead and phthalates ,Chemical Hazard,7.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,October,Consumer product
116,2022-10-19,Children’s Butterfly Net by Juvo Plus recalled due to the presence of lead and phthalates,Chemical Hazard,6.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,October,Consumer product
117,2022-10-18,"Certain lots of Bed Head TIGI, Dove and Tresemmé Dry Shampoo products recalled due to detection of benzene ",Chemical Hazard,16.0,Beauty And Personal Care,Health Canada,consumer product recall,General Public,2022,October,Consumer product
118,2022-10-18,Unbranded Stroller and Travel systems recalled due to lack of appropriate labelling and assembly instructions,Labelling And Packaging,1.0,Other,Health Canada,consumer product recall,General Public,2022,October,Consumer product
119,2022-10-14,Infantino 3-Pack Water Teethers recalled due to microbial contamination,Microbial Hazard,4.0,Other,Health Canada,consumer product recall,General Public,2022,October,Consumer product
120,2022-10-06,  Expanded Recall: Specialized-branded Sirrus bicycles with alloy cranks recalled due to fall hazard ,Fall Hazard,8.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,October,Consumer product
121,2022-10-06,Optimus Gemini 2-Burner Gas Stove recalled due to Fire Hazard ,Fire Hazard,3.0,Outdoor Living,Health Canada,consumer product recall,General Public,2022,October,Consumer product
122,2022-10-05,Tethrd One Stick GEN 2 Climbing Sticks recalled due to fall hazard ,Fall Hazard,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,October,Consumer product
123,2022-10-03,bblüv - Gümi Water-Filled Teethers recalled due to microbial contamination,Microbial Hazard,3.0,Other,Health Canada,consumer product recall,General Public,2022,October,Consumer product
124,2022-09-29,Universal branded Custom Filled Spray Can recalled due to improper labelling ,Labelling And Packaging,1.0,Chemicals,Health Canada,consumer product recall,General Public,2022,September,Consumer product
125,2022-09-28,In Home BIRK Shag Rug (Light Grey) recalled due to Flammability Hazard,Fire Hazard,2.0,Household Items,Health Canada,consumer product recall,General Public,2022,September,Consumer product
126,2022-09-27,Cannara Biotech (Québec) Inc. recalls one lot of Nugz Old School Hash cannabis extract  ,Labelling And Packaging,2.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2022,September,Consumer product
127,2022-09-23,Dykstra Greenhouses recalls one lot of Darkest Side of the Moon 2.5g Pre-Rolled Joints Dried Cannabis,Labelling And Packaging,2.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2022,September,Consumer product
128,2022-09-22,Spalding Momentous EZ Portable Basketball Goal recalled due to impact hazard,Impact Hazard,4.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,September,Consumer product
129,2022-09-21,Krystal Epoxy Resin Tabletop & Art Epoxy Kit recalled due to improper labelling and lack of child-resistant packaging ,Chemical Hazard,4.0,Chemicals,Health Canada,consumer product recall,General Public,2022,September,Consumer product
130,2022-09-15,Cervélo R5 and Caledonia-5 bicycles and ST31 LT replacement stems recalled due to fall hazard,Fall Hazard,16.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,September,Consumer product
131,2022-09-15,Various Hilti DHS gas cut-off saws recalled due to injury hazard,Injury Hazard,4.0,Tools And Accessories,Health Canada,consumer product recall,General Public,2022,September,Consumer product
132,2022-09-13,Air Steward Portable Radon Monitor recalled due to Inaccurate Radon Detection  ,Chemical Hazard,1.0,Electronics,Health Canada,consumer product recall,General Public,2022,September,Consumer product
133,2022-09-09,Chicology Cordless 1-inch Vinyl Mini Blinds recalled due to strangulation and choking hazards to children,Choking Hazard,2.0,Household Items,Health Canada,consumer product recall,General Public,2022,September,Consumer product
134,2022-09-07,Health Canada warns that Elifecity Portable Radon Meter may pose a health and safety risk due to undetected high radon levels,Chemical Hazard,3.0,Electronics,Health Canada,consumer product advisory,General Public,2022,September,Consumer product
135,2022-09-06,IKEA TRIPPEVALS and HOPPVALS cellular blinds recalled due to potential choking hazard to children ,Choking Hazard,6.0,Household Items,Health Canada,consumer product recall,General Public,2022,September,Consumer product
136,2022-09-02,Voguette Factory Store Brand roller blinds recalled due to strangulation hazard to children,Strangulation Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2022,September,Consumer product
137,2022-09-01,"Steel Hanging Chairs in Yellow, Grey and Green recalled due to Fall Hazard",Fall Hazard,4.0,Household Items,Health Canada,consumer product recall,General Public,2022,September,Consumer product
138,2022-09-01,Sun Joe iON+ Cordless Lawn Mower Kit (17-inch) recalled due to injury hazard,Injury Hazard,3.0,Outdoor Living,Health Canada,consumer product recall,General Public,2022,September,Consumer product
139,2022-09-01,UPPAbaby All-Terrain RIDGE Jogging Strollers recalled due to Fingertip Amputation Hazard ,Injury Hazard,1.0,Other,Health Canada,consumer product recall,General Public,2022,September,Consumer product
140,2022-09-01,Citrus Solvent recalled due to improper labelling and lack of child-resistant packaging,Labelling And Packaging,5.0,Chemicals,Health Canada,consumer product recall,General Public,2022,September,Consumer product
141,2022-08-30,Citrus Solvent recalled due to improper labelling and lack of child-resistant packaging,Labelling And Packaging,4.0,Chemicals,Health Canada,consumer product recall,General Public,2022,August,Consumer product
142,2022-08-30,Aqua Lung i330R SCUBA Diving Computers recalled due to Drowning Hazard,Drowning Hazard,5.0,Electronics,"ImporterAqua LungCarlsbad, CaliforniaUNITED STATES",consumer product recall,General Public,2022,August,Consumer product
143,2022-08-29,Rexall Water Filled Teether recalled due to microbial contamination,Microbial Hazard,4.0,Other,Health Canada,consumer product recall,General Public,2022,August,Consumer product
144,2022-08-26,Home Basics Cordless Cellular Blackout Shades recalled due to Choking Hazard,Choking Hazard,29.0,Household Items,Health Canada,consumer product recall,General Public,2022,August,Consumer product
145,2022-08-26,MyHome Gll Morningstar Cordless Blind recalled due to strangulation and choking hazards to children,Choking Hazard,7.0,Household Items,Health Canada,consumer product recall,General Public,2022,August,Consumer product
146,2022-08-25,Trek Carbon Handlebars/Stems and Bicycles Recalled due to a Fall Hazard,Fall Hazard,5.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,August,Consumer product
147,2022-08-25,Kidoozie Brand My First Activity Desk recalled due to potential jaw entrapment and protrusion hazard,Entrapment Hazard,3.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,August,Consumer product
