,Date,Item,Nb_affected_models,Category,Published by,Audience,Recall class,Recall type,Year,Month,Recall Category,Sub Issue,Food_Issue
17,2023-02-15,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli,3.0,Dairy,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2023,February,Food,Microbial Contamination,Microbiological Contamination
18,2023-02-14,Le Fromage au Village and FreshFun Fantastic brand cheese products recalled due to Listeria monocytogenes,31.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,February,Food,Microbial Contamination,Microbiological Contamination
19,2023-02-12,Le Fromage au Village brand Le Cru du Clocher raw milk cheddar cheese recalled due to Listeria monocytogenes,3.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,February,Food,Microbial Contamination,Microbiological Contamination
20,2023-02-11,"MacMillan's Specialty Foods brand McCain 3/8"" Staycrisp Straight Cut Fries recalled due to undeclared gluten and wheat",2.0,Frozen,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,February,Food,Allergen,Allergen
21,2023-02-09,Sherbon brand Falooda Drink – Mango recalled due to undeclared milk,2.0,Non-alcoholic,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,February,Food,Allergen,Allergen
22,2023-02-06,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli,2.0,Dairy,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2023,February,Food,Microbial Contamination,Microbiological Contamination
23,2023-02-04,Nutrifresh brand Falooda Drinks recalled due to undeclared milk,5.0,Non-alcoholic,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,February,Food,Allergen,Allergen
24,2023-02-03,Nutrifresh brand Falooda Drinks recalled due to undeclared milk,7.0,Non-alcoholic,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,February,Food,Allergen,Allergen
25,2023-02-03,"Apetito HFS brand and Heart to Home Meals brand meatball products recalled due to undeclared egg, milk, and wheat",7.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,February,Food,Allergen,Allergen
26,2023-02-01,Cedar Phoenicia brand Pindjur Vegetable Spread recalled due to pieces of glass,2.0,Multiple food items,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,February,Food,Extraneous Material,Extraneous Material
27,2023-01-27,Tohato brand Potato Ring Seaweed Flavor Snack recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,January,Food,Allergen,Allergen
28,2023-01-25,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli,3.0,Dairy,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2023,January,Food,Microbial Contamination,Microbiological Contamination
29,2023-01-20,Dubon brand Mixed Forest Mushrooms recalled due to insects and mold,2.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,January,Food,Extraneous Material,Extraneous Material
30,2023-01-19,Surface-ripened soft and semi-soft cheeses recalled due to Listeria monocytogenes,5.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,January,Food,Microbial Contamination,Microbiological Contamination
31,2023-01-19,Fresh Prep brand Nutty Kale Salad with Goat Cheese and Creamy Maple Dressing recalled due to undeclared sesame,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,notification,2023,January,Food,Allergen,Allergen
32,2023-01-18,Summer Fresh brand and Compliments Naturally Simple brand hummus recalled due to pieces of plastic,3.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,January,Food,Extraneous Material,Extraneous Material
33,2023-01-18,Cedar Phoenicia brand Pindjur Vegetable Spread recalled due to pieces of glass,2.0,Multiple food items,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,January,Food,Extraneous Material,Extraneous Material
34,2023-01-16,La Vache à Maillotte brand Mélo-Dieux – Surface-ripened soft cheese recalled due to Listeria monocytogenes,2.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,January,Food,Microbial Contamination,Microbiological Contamination
35,2023-01-14,Le Cendré de Notre-Dame brand Semi-soft Surface-ripened Cheese recalled due to Listeria monocytogenes,2.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,January,Food,Microbial Contamination,Microbiological Contamination
36,2023-01-13,Punjab King brand Pure Honey recalled due to presence of metronidazole,3.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,January,Food,Chemical,Other
37,2023-01-13,St-Hubert and Cavalier brand Chicken Breast Nuggets recalled due to pieces of wood,3.0,Processed,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,January,Food,Extraneous Material,Extraneous Material
38,2023-01-12,Kirkland Signature brand Four Cheese and Spinach Manicotti Marinara recalled due to pieces of metal,2.0,Multiple food items,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,January,Food,Extraneous Material,Extraneous Material
39,2023-01-07,Tohato brand Potato Ring Salty Snack Products recalled due to undeclared milk,3.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,January,Food,Allergen,Allergen
40,2022-12-30,Olivia & Leo Gourmet Treats brand Dark 55% Cacao Almond Bark recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Allergen,Allergen
41,2022-12-30,Sanders brand Dark Chocolate Sea Salt Caramels recalled due to pieces of plastic,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,December,Food,Extraneous Material,Extraneous Material
42,2022-12-30,Sanders brand Dark Chocolate Sea Salt Caramels recalled due to pieces of plastic,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,December,Food,Extraneous Material,Extraneous Material
43,2022-12-27,Igor brand Gorgonzola mild ripened blue-veined cheese recalled due to Listeria monocytogenes,2.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Microbial Contamination,Microbiological Contamination
44,2022-12-24,Certain alpha brand Plant-based Breakfast Sandwiches and Burritos recalled due to undeclared milk,5.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Allergen,Allergen
45,2022-12-24,The Chocolate Lab brand Chocolate Coffee Beans recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Allergen,Allergen
46,2022-12-24,Olivia & Leo Gourmet Treats brand Dark 55% Cacao Almond Bark recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Allergen,Allergen
47,2022-12-23,Feast by Circles & Squares brand sandwiches recalled due to undeclared egg,3.0,Eggs,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,December,Food,Allergen,Allergen
48,2022-12-22,Venetian Meats brand Finocchiona Salami Sweet Fennel recalled due to Salmonella,2.0,Processed,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Microbial Contamination,Microbiological Contamination
49,2022-12-20,Loop Mission brand Probiotic Soda products recalled due to possible spoilage,4.0,Non-alcoholic,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,December,Food,Microbial Contamination,Microbiological Contamination
50,2022-12-19,Power Life by Tony Horton brand High Impact Plant Protein Chocolate Flavor recalled due to undeclared milk,2.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Allergen,Allergen
51,2022-12-19,Venetian Meats brand Finocchiona Salami Sweet Fennel recalled due to Salmonella,2.0,Processed,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,December,Food,Microbial Contamination,Microbiological Contamination
52,2022-12-16,Scotian Isle Baked Goods brand Chicken Pot Pie 5in. recalled due to undeclared egg,2.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Allergen,Allergen
53,2022-12-16,alpha brand Plant-based Breakfast Sandwich – Meatless Sausage recalled due to undeclared milk,2.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Allergen,Allergen
54,2022-12-16,Igor brand Gorgonzola Dolce recalled due to Listeria monocytogenes,2.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Microbial Contamination,Microbiological Contamination
55,2022-12-14,Everland brand Organic Coconut Chocolate Bark recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Allergen,Allergen
56,2022-12-14,Taynton Bay Spirits brand Pickle Vodka recalled due to elevated levels of copper,2.0,Alcoholic,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,food recall warning,2022,December,Food,Chemical,Other
57,2022-12-08,Igor brand Gorgonzola mild ripened blue-veined cheese recalled due to Listeria monocytogenes,2.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,December,Food,Microbial Contamination,Microbiological Contamination
58,2022-12-02,Pinty's Eatwell brand Gluten Free Chicken Nuggets recalled due to pieces of rubber,3.0,Processed,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,December,Food,Extraneous Material,Extraneous Material
59,2022-11-30,Alpha brand Plant-Based Breakfast Sandwich - Meatless Sausage recalled due to undeclared milk,2.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,November,Food,Allergen,Allergen
60,2022-11-30,Cruzilles brand Acid Mini Pastille – Fruit Jellies recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,November,Food,Allergen,Allergen
61,2022-11-30,Casa Grande brand Salsa Roja (Mild) recalled due to pieces of metal,3.0,Multiple food items,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,November,Food,Extraneous Material,Extraneous Material
62,2022-11-25,Lebby brand Dark Chocolate Chickpea Snacks recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,November,Food,Allergen,Allergen
63,2022-11-24,Ground Turkey Extra Lean 98/2 recalled due to pieces of bone,2.0,Processed,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,November,Food,Extraneous Material,Extraneous Material
64,2022-11-19,Bliss Balls brand and Everland brand chocolate products recalled due to undeclared milk,12.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,November,Food,Allergen,Allergen
65,2022-11-18,Mounet Group brand Labneh – Soft Unripened Cheese in Vegetable Oil recalled due to potential presence of dangerous bacteria,2.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,November,Food,Microbial Contamination,Microbiological Contamination
66,2022-11-18,Sélection du Pâtissier brand Lemon and Poppyseed Poundcake recalled due to pieces of plastic,2.0,Grain products,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,November,Food,Extraneous Material,Extraneous Material
67,2022-11-16,Lactaid brand 4% Milkfat Min. Cottage Cheese recalled due to plastic,2.0,Dairy,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,November,Food,Extraneous Material,Extraneous Material
68,2022-11-16,Silk brand Fortified Almond Beverage - Unsweetened recalled due to spoilage,2.0,Non-alcoholic,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,November,Food,Microbial Contamination,Microbiological Contamination
69,2022-11-10,Hardbite brand Wild Onion & Yogurt Potato Chips recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,November,Food,Allergen,Allergen
70,2022-11-07,Seed Ranch Flavor Co. brand Umami Everyday Sauce recalled due to undeclared soy,2.0,Condiments,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,November,Food,Allergen,Allergen
71,2022-11-07,Tim Hortons brand Soup Base Chicken Noodle recalled due to presence of insects,2.0,Multiple food items,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,November,Food,Extraneous Material,Extraneous Material
72,2022-11-07,Loop Mission brand Sparkling Strawberry Probiotic Soda recalled due to possible spoilage,2.0,Beverages,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,November,Food,Microbial Contamination,Microbiological Contamination
73,2022-11-04,Cappola brand Genoa Salami recalled due to undeclared milk and wheat,2.0,Processed,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,November,Food,Allergen,Allergen
74,2022-11-04,Seed Ranch Flavor Co. brand Everything But... The Sushi & Dumplings Hot Sauce and Umami Everyday Sauce recalled due to undeclared soy,3.0,Condiments,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,November,Food,Allergen,Allergen
75,2022-11-04,Bliss Balls brand Chocolate Ginger and Everland brand Chocolate Hazelnuts recalled due to undeclared milk,3.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,November,Food,Allergen,Allergen
76,2022-11-03,Tiramisu Twist Cookies recalled due to undeclared almond and hazelnut,2.0,Grain products,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,November,Food,Allergen,Allergen
77,2022-10-24,Family's Choice Distribution brand Tahini Extra Sesame Seed Paste recalled due to Salmonella,2.0,Condiments,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,October,Food,Microbial Contamination,Microbiological Contamination
78,2022-10-21,UNREAL brand dark chocolate coconut minis recalled due to Salmonella,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,October,Food,Microbial Contamination,Microbiological Contamination
79,2022-10-21,Bonta brand Pepperonata recalled due to pieces of glass,2.0,Condiments,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,October,Food,Extraneous Material,Extraneous Material
80,2022-10-18,Enoki Mushroom recalled due to Listeria monocytogenes,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,October,Food,Microbial Contamination,Microbiological Contamination
81,2022-10-14,Abbott brand Similac Sterilized Water recalled due to spoilage,2.0,Non-alcoholic,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,October,Food,Microbial Contamination,Microbiological Contamination
82,2022-10-14,Certain Circle K / Couche Tard brand Sandwiches recalled due to Listeria monocytogenes,15.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,October,Food,Microbial Contamination,Microbiological Contamination
83,2022-10-14,Aman's brand Mango Chutney recalled due to pieces of glass,2.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,October,Food,Extraneous Material,Extraneous Material
84,2022-10-13,"Le Verger à Ti-Paul brand ""Le pieux - Cidre de feu"" recalled due to lead",2.0,Alcoholic,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,October,Food,Chemical,Other
85,2022-10-07,Certain Circle K / Couche Tard brand Sandwiches recalled due to Listeria monocytogenes,3.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,October,Food,Microbial Contamination,Microbiological Contamination
86,2022-10-06,Certain Nature’s Best brand and Zavat Chalav brand cheese products recalled due to Listeria monocytogenes,7.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,October,Food,Microbial Contamination,Microbiological Contamination
87,2022-10-04,Certain Nature's Best brand and Zavat Chalav brand Mozzarella Cheese products recalled due to Listeria monocytogenes,4.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,October,Food,Microbial Contamination,Microbiological Contamination
88,2022-10-04,Le Verger à Ti-Paul brand Cider recalled due to lead,3.0,Alcoholic,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,October,Food,Chemical,Other
89,2022-10-04,No brand Low-Fat Mozzarella Cheese recalled due to Listeria monocytogenes,2.0,Dairy,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,October,Food,Microbial Contamination,Microbiological Contamination
90,2022-09-27,Various brands of oysters recalled by Oyster Kings Inc. due to Salmonella,20.0,Fresh,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,September,Food,Microbial Contamination,Microbiological Contamination
91,2022-09-23,Bliss Balls brand Chocolate Coconut Cream recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,September,Food,Allergen,Allergen
92,2022-09-22,No brand German Frikadellen recalled due to undeclared gluten and wheat,2.0,Multiple food items,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,September,Food,Allergen,Allergen
93,2022-09-21,"Fresh and Local brand Turkey, Bacon Sub recalled due to Listeria monocytogenes",2.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,September,Food,Microbial Contamination,Microbiological Contamination
94,2022-09-18,K-Fresh Fresh Produce brand Enoki Mushroom recalled due to Listeria monocytogenes,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,September,Food,Microbial Contamination,Microbiological Contamination
95,2022-09-16,Viana brand Veggie Cevapcici recalled due to undeclared almond,2.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,September,Food,Allergen,Allergen
96,2022-09-15,Various brands of salad products recalled due to pieces of plastic,38.0,Fresh,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,September,Food,Extraneous Material,Extraneous Material
97,2022-09-15,Eden brand Organic Apple Juice recalled due to patulin,3.0,Non-alcoholic,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,September,Food,Chemical,Other
98,2022-09-09,M&M Food Market brand Prime Rib Beef Burgers recalled due to undeclared gluten and wheat,2.0,Frozen,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,September,Food,Allergen,Allergen
99,2022-09-09,Calvé brand « Pindasaus » recalled due to pieces of rubber,5.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,September,Food,Extraneous Material,Extraneous Material
100,2022-09-02,Enoki Mushroom recalled due to Listeria monocytogenes,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,September,Food,Microbial Contamination,Microbiological Contamination
101,2022-09-02,Bonvallis brand Nevat (cheese) recalled due to generic E. coli,2.0,Dairy,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,September,Food,Microbial Contamination,Microbiological Contamination
102,2022-09-01,Mr. Right brand Keampferia Galanga Powder (sand ginger powder) recalled due to aconitine contamination,2.0,Herbs and spices,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,September,Food,Chemical,Other
103,2022-08-31,Enoki Mushroom recalled due to Listeria monocytogenes,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,August,Food,Microbial Contamination,Microbiological Contamination
104,2022-08-30,Lamb's Supreme brand Shredded IQF Hash Browns recalled due to Listeria monocytogenes,2.0,Frozen,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,August,Food,Microbial Contamination,Microbiological Contamination
105,2022-08-29,Nature's Intent brand Dark Chocolate Enrobed Pineapples recalled due to undeclared milk,2.0,Multiple food items,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,August,Food,Allergen,Allergen
106,2022-08-26,Lamb's Supreme brand Shredded IQF Hash Browns recalled due to Listeria monocytogenes,2.0,Frozen,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,August,Food,Microbial Contamination,Microbiological Contamination
107,2022-08-26,4 In. Split Top Brioche Style Buns recalled due to potential presence of dangerous bacteria and Cronobacter sakazakii ,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,August,Food,Microbial Contamination,Microbiological Contamination
108,2022-08-24,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli,3.0,Dairy,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,August,Food,Microbial Contamination,Microbiological Contamination
109,2022-08-24,Mrakovic Fine Foods brand Natural Chicken Burger recalled due to undeclared egg,2.0,Frozen,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,August,Food,Allergen,Allergen
110,2022-08-24,"Life120 brand ""Ricotta Di Bufala Campana Dop"" recalled due to generic E. coli",2.0,Dairy,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,August,Food,Microbial Contamination,Microbiological Contamination
111,2022-08-19,Food Recall Warning (Allergen) – Cache Cuisine brand Pro-licious Protein Pancake & Waffle Mix recalled due to improperly undeclared milk,2.0,Grain products,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,August,Food,Allergen,Allergen
112,2022-08-19,"Food Recall Warning (Allergen) – Mastro San Daniele brand Charcuterie Trio – Prosciutto Cotto, Capocollo, Mortadella recalled due to undeclared milk",2.0,Processed,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,August,Food,Allergen,Allergen
113,2022-08-19,Delizia brand Vegetarian Ham recalled due to undeclared gluten and wheat,2.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,August,Food,Allergen,Allergen
114,2022-08-19,Supherb Farms brand Fresh Frozen Dill and Fresh Frozen Jalapeño Red recalled due to Listeria monocytogenes,3.0,Frozen,La Cie McCormick Canada Inc.,General Public,Class 1,notification,2022,August,Food,Microbial Contamination,Microbiological Contamination
115,2022-08-16,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli,2.0,Dairy,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,August,Food,Microbial Contamination,Microbiological Contamination
116,2022-08-15,Best Buy brand Chicken Tournedos with Bacon recalled due to pieces of bone,2.0,Frozen,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,August,Food,Extraneous Material,Extraneous Material
117,2022-08-12,Supherb Farms brand IQF Dill recalled due to Listeria monocytogenes,2.0,Herbs and spices,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,August,Food,Microbial Contamination,Microbiological Contamination
118,2022-08-12,Green Garden brand Fresh Mint recalled due to generic E. coli,2.0,Herbs and spices,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,August,Food,Microbial Contamination,Microbiological Contamination
119,2022-08-11,Crescent brand Pastrami and Turkey Breast - Tuscan Flavoured recalled due to Listeria monocytogenes,3.0,Processed,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,August,Food,Microbial Contamination,Microbiological Contamination
120,2022-08-10,Taste of Ukraine brand Chicken Pelmeni recalled due to undeclared milk,3.0,Multiple food items,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,August,Food,Allergen,Allergen
121,2022-08-10,Delizia brand Vegetarian Ham recalled due to undeclared gluten and wheat,2.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 2,notification,2022,August,Food,Allergen,Allergen
