,Unnamed: 0,Date,Item,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Companies,Published by,Audience,Recall type,Recall class,Starting date:,Posting date:,Type of communication:,Subcategory:,Source of recall:,Issue:,Audience:,Identification number:,Hazard classification:
11,0,2023-03-24,"
Monnal T60
",Air Liquide Medical Systems,Monnal T60,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Anaesthesiology,"Air Liquide Medical Systems
6 Rue Georges Besse, Antony, France, 92182",Health Canada,"Healthcare
Industry",health product recall,Type II,,,,,,,,,
12,0,2023-03-23,"
Hamilton C6 Intensive Care Ventilator
",Hamilton Medical Ag,Hamilton C6 Intensive Care Ventilator,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Anaesthesiology,"Hamilton Medical Ag
Via Crusch 8, Bonaduz, Switzerland, 7402",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
13,0,2023-03-23,"
Vacuette * K2 EDTA
","Greiner Bio One North America, Inc.",Vacuette * K2 EDTA,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - General hospital and personal use,"Greiner Bio One North America, Inc.
4238 Capital Drive, Monroe, North Carolina, United States, 28110",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
14,0,2023-03-22,"
Infinity® Central Station
","Draeger Medical Systems, Inc.",Infinity® Central Station,Medical devices - Performance issue,5.0,Health product recall,Health product - Medical device - Cardiovascular,Health product - Medical device - General hospital and personal use,"Draeger Medical Systems, Inc.
3135 Quarry Road, Telford, Pennsylvania, United States, 18969",Health Canada,health product recall,Type I,,,,,,,,,
15,0,2023-03-22,"
Rayplan and Raystation
",Raysearch Laboratories Ab [Publ],Rayplan and Raystation,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - General hospital and personal use,Health product - Medical device - Radiology,"Raysearch Laboratories Ab (Publ)
Eugeniavagen 18c, Stockholm, Sweden, 11368",Health Canada,health product recall,Type II,,,,,,,,,
16,0,2023-03-21,"
Unauthorized sexual enhancement products may pose serious health risks
",,Various unauthorized health products promoted for sexual enhancement,Health products - Unauthorized product,16.0,Public advisory,Health product - Drugs,,Health Canada,General public,public advisory,,,,,,,,,,
17,0,2023-03-21,"
Diclofenac Sodium Micronized:  Out of specification in the affected lot.
",,Diclofenac Sodium Micronized ,Health products - Product quality,2.0,Health product recall,Health product - Drugs,"AX Pharmaceutical Corp.
100 Tesma Way, Unit 8, Concord
ON L4K 0J9",Health Canada,"General public
Healthcare
Industry",health product recall,Type III,,,,,,,,,
18,0,2023-03-20,"
ISTODAX (romidepsin) –  Restricted Access Program
",,ISTODAX (romidepsin),Health products - New safety information,1.0,Health professional risk communication,Health product - Drugs,,Health Canada,Health professionals,health professional risk communication,,,,,,,,,,
19,0,2023-03-20,"
Two lots of cystic fibrosis drug Cayston recalled due to the potential of cracked glass vials
",,"Gilead Sciences, Inc., Cayston (Lots 032168 and 033357)",Health products - Product quality,2.0,Public advisory,Health product - Drugs,,Health Canada,General public,public advisory,,,,,,,,,,
20,0,2023-03-17,"
Surgical Gut - Plain and Absorbable Sutures
",COVIDIEN LLC,Surgical Gut - Plain and Absorbable Sutures,Medical devices - Sterility Issue,3.0,Health product recall,Health product - Medical device - General and plastic surgery,"Covidien LLC
15 Hampshire Street, Mansfield, Massachusetts, United States, 02048",Health Canada,Healthcare,health product recall,Type I,,,,,,,,,
21,0,2023-03-17,"
Disposable Rotatable Clip Fixing Device
",OLYMPUS MEDICAL SYSTEMS CORP.,Disposable Rotatable Clip Fixing Device,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - General and plastic surgery,"Olympus Medical Systems Corp.
2951 Ishikawa-Cho, Hachioji-Shi, Tokyo-To, Japan, 192-8507",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
22,0,2023-03-17,"
Heater-Cooler Unit HCU 40
",MAQUET CARDIOPULMONARY GMBH,Heater-Cooler Unit HCU 40,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - General hospital and personal use,"Maquet Cardiopulmonary GmbH
Kehler Strasse 31, Rastatt, Germany, 76437",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
23,0,2023-03-17,"
Thermo Scientific™ RAPID™ Hp StAR™
",Oxoid Limited,Thermo Scientific™ RAPID™ Hp StAR™,Medical devices,2.0,Health product recall,Health product - Medical device - Microbiology,"Oxoid Limited
Wade Road, Basingstoke, Hampshire, Great Britain, RG24 8PW",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
24,0,2023-03-17,"
Shortage of Nitroglycerin Sprays in Canada
",,Nitroglycerin 0.4 MG/ACT sprays,Health products - Supply,4.0,Public advisory,Health product - Drugs,,Health Canada,Health professionals,public advisory,,,,,,,,,,
25,0,2023-03-16,"
Cardiosave System - Hybrid & Rescue Intra-Aortic Balloon Pump
",Datascope Corp.,Cardiosave System - Hybrid & Rescue Intra-Aortic Balloon Pump,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Cardiovascular,"Datascope Corp.
1300 Macarthur Blvd., Mahwah, New Jersey, United States, 07430",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
26,0,2023-03-16,"
Robikids and Solmux are unauthorized children’s syrups for thinning mucus and may pose serious health risks
",Robikids,Unauthorized health products labelled to contain a prescription drug,Health products - Product safety,3.0,Public advisory,Health product - Drugs,,Health Canada,General public,public advisory,,,,,,,,,,
27,0,2023-03-16,"
Aqure System
",Radiometer Medical Aps,Aqure System,Medical devices - Device compatibility,2.0,Health product recall,Health product - Medical device - General hospital and personal use,"Radiometer Medical Aps
Akandevej 21, Bronshoj, Denmark, 2700",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
28,0,2023-03-16,"
Habib™ EndoHPB Catheter
",BOSTON SCIENTIFIC CORPORATION,Habib™ EndoHPB Catheter,Medical devices - Device compatibility,2.0,Health product recall,Health product - Medical device - Obstetrics and gynaecology,"Boston Scientific Corporation
300 Boston Scientific Way, Marlborough, Massachusetts, United States, 01752",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
29,0,2023-03-15,"
BD Bodyguard Microset
",Caesarea Medical Electronics Ltd.,BD Bodyguard Microset,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - General hospital and personal use,"Caesarea Medical Electronics Ltd.
16 Shacham Street, Caesarea, Israel, 3088900",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
30,0,2023-03-16,"
Habib™ EndoHPB Catheter
",BOSTON SCIENTIFIC CORPORATION,Habib™ EndoHPB Catheter,Medical devices - Device compatibility,2.0,Health product recall,Health product - Medical device - Obstetrics and gynaecology,"Boston Scientific Corporation
300 Boston Scientific Way, Marlborough, Massachusetts, United States, 01752",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
31,0,2023-03-15,"
CT Scan and High Capacity Table
",Ge Hangwei Medical Systems Co. Ltd. ,CT Scan and High Capacity Table,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - General hospital and personal use,Health product - Medical device - Radiology,"Ge Hangwei Medical Systems Co. Ltd.
West Area Of Bldg. No.3, Beijing, Beijing, China, 100176",Health Canada,health product recall,Type II,,,,,,,,,
32,0,2023-03-15,"
BD Bodyguard Microset
",Caesarea Medical Electronics Ltd.,BD Bodyguard Microset,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - General hospital and personal use,"Caesarea Medical Electronics Ltd.
16 Shacham Street, Caesarea, Israel, 3088900",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
33,0,2023-03-15,"
Cannulated Screw System
",Orthopediatrics Corporation,Cannulated Screw System,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Orthopaedics,"Orthopediatrics Corporation
2850 Frontier Drive, Warsaw, Indiana, United States, 46582",Health Canada,"General public
Healthcare",health product recall,Type II,,,,,,,,,
34,0,2023-03-15,"
Durasul Modular Head
",Zimmer GmbH,Durasul Modular Head,Medical devices - Device compatibility,2.0,Health product recall,Health product - Medical device - Orthopaedics,"Zimmer GmbH
Sulzer Allee 8, Winterthur, Switzerland, Switzerland, 8404",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
35,0,2023-03-15,"
Express Mini 500 and Pneumostat Chest Drain Valve
",ATRIUM MEDICAL CORPORATION,Express Mini 500 and Pneumostat Chest Drain Valve,Medical devices - Labelling and packaging,3.0,Health product recall,Health product - Medical device - General hospital and personal use,"Atrium Medical Corporation
40 Continental Blvd., Merrimack, New Hampshire, United States, 03054",Health Canada,Industry,health product recall,Type II,,,,,,,,,
36,0,2023-03-10,"
Safelight Fiber Optic Cable Clear, 5mm X 10ft 3.05m
","STRYKER ENDOSCOPY, A DIV. OF STRYKER CORP. DBA STRYKER ENDOSCOPY","Safelight Fiber Optic Cable Clear, 5mm X 10ft 3.05m",Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Gastroenterology & Urology,"Stryker Endoscopy, A Div. Of Stryker Corp. Dba Stryker Endoscopy
5900 Optical Court, San Jose, California, United States, 95138",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
37,0,2023-03-10,"
Eyecee One Preloaded
","Nidek Co., Ltd.",Eyecee One Preloaded,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Ophthalmology,"Nidek Co., Ltd.
34-14 Maehama, Hiroishi-Cho, Gamagori, Aichi-Ken, Japan, 443-0038",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
38,0,2023-03-10,"
Tempus Pro
",Remote Diagnostic Technologies Limited,Tempus Pro,Medical devices - Labelling and packaging,2.0,Health product recall,Health product - Medical device - Cardiovascular,"Remote Diagnostic Technologies Limited
Ascent 1, Farnborough, Great Britain, GU14 6XW",Health Canada,Industry,health product recall,Type II,,,,,,,,,
39,0,2023-03-10,"
Bard Mission Disposable Core Biopsy Instrument Kit
","Bard Peripheral Vascular, Inc.",Bard Mission Disposable Core Biopsy Instrument Kit,Medical devices - Device compatibility,2.0,Health product recall,Health product - Medical device - Gastroenterology & Urology,"Bard Peripheral Vascular, Inc.
1625 West 3rd Street, Tempe, Arizona, United States, 85281",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
40,0,2023-03-09,"
Injetak Adjustable Tip Needle
","Laborie Medical Technologies, Corp.",Injetak Adjustable Tip Needle,Medical devices - Sterility Issue,3.0,Health product recall,Health product - Medical device - General hospital and personal use,"Laborie Medical Technologies, Corp.
180 International Dr., Portsmouth, New Hampshire, United States, 03801",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
41,0,2023-03-09,"
Bioplex 2200 Anti-CCP System
","Bio-Rad Laboratories, Inc.",Bioplex 2200 Anti-CCP System,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Chemistry,Health product - Medical device - Immunology,"Bio-Rad Laboratories, Inc.
4000 Alfred Nobel Drive, Hercules, California, United States, 94547",Health Canada,health product recall,Type II,,,,,,,,,
42,0,2023-03-09,"
Da Vinci Surgical Systems
",Intuitive Surgical Inc.,Da Vinci Surgical Systems,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Gastroenterology & Urology,Health product - Medical device - General hospital and personal use,"Intuitive Surgical Inc.
1266 Kifer Road, Sunnyvale, California, United States, 94086",Health Canada,health product recall,Type II,,,,,,,,,
43,0,2023-03-09,"
Capiox FX25 Hollow Fiber Oxygenator With Integrated Arterial Filter
",Terumo Cardiovascular Systems Corporation,Capiox FX25 Hollow Fiber Oxygenator With Integrated Arterial Filter,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Cardiovascular,"Terumo Cardiovascular Systems Corporation
125 Blue Ball Road, Elkton, Maryland, United States, 21921",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
44,0,2023-03-08,"
Tantalum Bead 1.00mm
",X-Medics Scandinavia S.M.B.A.,Tantalum Bead 1.00mm,Medical devices - Unauthorised device,2.0,Health product recall,Health product - Medical device - Radiology,"X-Medics Scandinavia S.M.B.A.
Sankt Knuds Vej 11 Kld-Th, Frederiksberg, Denmark, 1903",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
45,0,2023-03-08,"
ACL Elite Coagulation Analyzers
",INSTRUMENTATION LABORATORY CO.,ACL Elite Coagulation Analyzers,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Haematology,"Instrumentation Laboratory Co.
180 Hartwell Road, Bedford, Massachusetts, United States, 01730-2443",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
46,0,2023-03-06,"
Unauthorized skin lightening products may pose serious health risks
",,Various unauthorized health products promoted for lightening skin,Health products - Unauthorized product,10.0,Public advisory,Health product - Drugs,,Health Canada,General public,public advisory,,,,,,,,,,
47,0,2023-03-03,"
Attune System - Tibial Insert Fixed Bearing Posterior Stabilized
",Depuy,Attune System - Tibial Insert Fixed Bearing Posterior Stabilized,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Orthopaedics,"Depuy (Ireland)
Loughbeg, Ringaskiddy, Cork, Ireland",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
48,0,2023-03-03,"
Smartperfusion and 2D perfusion 
",PHILIPS MEDICAL SYSTEMS NEDERLAND B.V.,Smartperfusion and 2D perfusion ,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - General hospital and personal use,"Philips Medical Systems Nederland B.V.
Veenpluis 6, Best, Netherlands, 5684 PC",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
49,0,2023-03-03,"
CAYSTON: Vials may be cracked in affected lots
",,CAYSTON,Health products - Product quality,2.0,Health product recall,Health product - Drugs,"Gilead Sciences Canada Inc. 
6711 Mississauga Rd., Suite 600
Mississauga, ON L5N 2W3",Health Canada,"General public
Healthcare
Industry",health product recall,Type I,,,,,,,,,
50,0,2023-03-02,"
Amicus Exchange and Mononuclear Cell Apheresis Kits
",Fresenius Kabi Ag,Amicus Exchange and Mononuclear Cell Apheresis Kits,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Haematology,"Fresenius Kabi Ag
Else-Kroner Str. 1, Bad Homburg, Germany, 61346",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
51,0,2023-03-02,"
Monaco
",Elekta Solutions Ab,Monaco,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Radiology,"Elekta Solutions Ab
Kungstensgatan 18, Stockholm, Sweden, 10393",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
52,0,2023-03-01,"
Pommel Walker (Senior, Junior, Mini)
",Rehabilitation Centre For Children Sscy Centre,"Pommel Walker (Senior, Junior, Mini)",Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Physical medicine,"Rehabilitation Centre For Children Sscy Centre
1155 Notre Dame Avenue, Winnipeg, Manitoba, Canada, R3E 3G1",Health Canada,General public,health product recall,Type II,,,,,,,,,
53,0,2023-03-01,"
Grafton and Grafton Plus Demineralized Bone Matrix
","Medtronic Sofamor Danek Usa, Inc.",Grafton and Grafton Plus Demineralized Bone Matrix,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Orthopaedics,"Medtronic Sofamor Danek Usa, Inc.
1800 Pyramid Place, Memphis, Tennessee, United States, 38132",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
54,0,2023-03-01,"
Infinity Occipitocervical Upper Thoracic System Multi Axial Screw
","Medtronic Sofamor Danek Usa, Inc.",Infinity Occipitocervical Upper Thoracic System Multi Axial Screw,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Orthopaedics,"Medtronic Sofamor Danek Usa, Inc.
1800 Pyramid Place, Memphis, Tennessee, United States, 38132",Health Canada,Healthcare,health product recall,Type I,,,,,,,,,
55,0,2023-03-01,"
Unauthorized health products from Kausch International Goods may pose serious health risks
",Brilliant Skin Essentials,Unauthorized health product labelled to contain a prescription drug,Health products - Product safety,8.0,Public advisory,Health product - Drugs,,Health Canada,,public advisory,,,,,,,,,,
56,0,2023-03-01,"
Heparin Sodium Injection: Out of Specification
",,HEPARIN SODIUM INJ IN 5% DEX 100UNITS/ML,Health products - Product quality,2.0,Health product recall,Health product - Drugs,"B. Braun Medical Inc.
2525 McGaw Ave, Irvine CA, United States",Health Canada,"General public
Healthcare
Industry",health product recall,Type II,,,,,,,,,
57,0,2023-03-01,"
Probiotic Blister: Out of Specification
",,Probiotic Blister,Health products - Product quality,2.0,Health product recall,Health product - Natural health products,"Jamp Pharma Corporation
1310 Rue Nobel
Boucherville, QC J4B 5H3",Health Canada,"General public
Healthcare
Industry",health product recall,Type II,,,,,,,,,
58,0,2023-03-01,"
ProbioMax 50 Billion: Out of Specification
",,ProbioMax 50 Billion,Health products - Product quality,2.0,Health product recall,Health product - Natural health products,"Jamp Pharma Corporation
1310 Rue Nobel
Boucherville, QC J4B 5H3",Health Canada,"General public
Healthcare
Industry",health product recall,Type II,,,,,,,,,
59,0,2023-02-24,"
Vital Vision Plus Omega 3: Incorrect label for pediatric subpopulation
",,Vital Vision Plus Omega 3,Health products - Labelling,2.0,Health product recall,Health product - Natural health products,"NuGale Pharmaceutical Inc.
41 Pullman Court Scarborough, ON M1X 1E4",Health Canada,"General public
Healthcare
Industry",health product recall,Type II,,,,,,,,,
60,0,2023-02-24,"
Freestyle Libre 2 App (Android)
",Abbott Diabetes Care Ltd.,Freestyle Libre 2 App (Android),Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - General hospital and personal use,"Abbott Diabetes Care Ltd.
Range Road, Witney, Oxfordshire, Great Britain, OX290YL",Health Canada,General public,health product recall,Type II,,,,,,,,,
61,0,2023-02-24,"
Luminos, Uroskop and Axiom Systems
",Siemens Healthcare Gmbh,"Luminos, Uroskop and Axiom Systems",Medical devices - Performance issue,8.0,Health product recall,Health product - Medical device - Radiology,"Siemens Healthcare GmbH
Henkestr. 127, Erlangen, Germany, 91052",Health Canada,"General public
Healthcare
Industry",health product recall,Type II,,,,,,,,,
62,0,2023-02-24,"
Lo-Pro Tracheal Tube Cuffed Murphy Tip
",COVIDIEN LLC,Lo-Pro Tracheal Tube Cuffed Murphy Tip,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Anaesthesiology,"Covidien LLC
15 Hampshire Street, Mansfield, Massachusetts, United States, 02048",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
63,0,2023-02-23,"
Cardiomems Patient and Hospital Electronics System
",ABBOTT MEDICAL,Cardiomems Patient and Hospital Electronics System,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Cardiovascular,"Abbott Medical
387 Technology Circle  Nw, Atlanta, Georgia, United States, 30313",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
64,0,2023-02-23,"
Cardiomems Hospital Electronics System
",ABBOTT MEDICAL,Cardiomems Hospital Electronics System,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Cardiovascular,"Abbott Medical
387 Technology Circle  Nw, Atlanta, Georgia, United States, 30313",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
65,0,2023-02-23,"
Smartpill Smartbar
","Given Imaging, Inc.",Smartpill Smartbar,Medical devices - Sterility Issue,2.0,Health product recall,Health product - Medical device - Gastroenterology & Urology,"Given Imaging, Inc.
15 Hampshire Street, Mansfield, Massachusetts, United States, 02048",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
66,0,2023-02-22,"
Tracoe Experc Sets
",Tracoe Medical GmbH,Tracoe Experc Sets,Medical devices - Labelling and packaging,3.0,Health product recall,Health product - Medical device - Anaesthesiology,"Tracoe Medical GmbH
Reichelsheimer Str.1/3, Nieder-Olm, Germany, 55268",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
67,0,2023-02-22,"
Centricity High Acuity Anesthesia
",GE HEALTHCARE IITS USA CORP ALSO DOING BUSINESS AS GE HEALTHCARE,Centricity High Acuity Anesthesia,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - General hospital and personal use,GE Healthcare Iits Usa Corp Also Doing Business As GE Healthcare,Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
68,0,2023-02-22,"
Unauthorized Kobayashi Eyebon Eye Wash seized from Oceanbuy store and removed from website because it may pose serious health risks
",Kobayashi Eyebon Eye Wash,Unauthorized health product labelled to contain a prescription drug,Health products - Product safety,2.0,Public advisory,Health product - Drugs,,Health Canada,General public,public advisory,,,,,,,,,,
69,0,2023-02-20,"
Unauthorized prescription and controlled drugs seized from two natural food stores in Sudbury, Ontario, because they may pose serious health risks 
",,Unauthorized health products labelled to contain prescription and controlled drugs,Health products - Product safety,6.0,Public advisory,Health product - Natural health products,,Health Canada,General public,public advisory,,,,,,,,,,
70,0,2023-02-17,"
BD Insulin Syringes With The BD Micro-Fine IV Needle
",BECTON DICKINSON AND COMPANY,BD Insulin Syringes With The BD Micro-Fine IV Needle,Medical devices - Sterility Issue,2.0,Health product recall,Health product - Medical device - General hospital and personal use,"Becton Dickinson And Company
1 Becton Drive, Franklin Lakes, New Jersey, United States, 07417",Health Canada,"Healthcare
Industry",health product recall,Type II,,,,,,,,,
71,0,2023-02-17,"
Cardiosave System - Hybrid & Rescue Intra-Aortic Balloon Pump
",Datascope Corp.,Cardiosave System - Hybrid & Rescue Intra-Aortic Balloon Pump,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Cardiovascular,"Datascope Corp.
1300 Macarthur Blvd., Mahwah, New Jersey, United States, 07430",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
72,0,2023-02-17,"
Ballard Oral Care Swab
","Avanos Medical, Inc.",Ballard Oral Care Swab,Medical devices - Labelling and packaging,2.0,Health product recall,Health product - Medical device - General hospital and personal use,"Avanos Medical, Inc.
5405 Windward Parkway, Alpharetta, Georgia, United States, 30004-3894",Health Canada,Industry,health product recall,Type II,,,,,,,,,
73,0,2023-02-17,"
Kirkland Signature Extra Strength Acetaminophen Tablets 500 mg: Out of Specification
",,Kirkland Signature Extra Strength Acetaminophen Tablets 500 mg,Health products - Product quality,2.0,Health product recall,Health product - Drugs,"Vita Health Products Inc.
150 Beghin Avenue, Winnipeg, MB R2J 3W2",Health Canada,"General public
Healthcare
Industry",health product recall,Type II,,,,,,,,,
74,0,2023-02-17,"
Unauthorized prescription drug called Solmux removed from sale from Palengke Pinoy store in Camrose, AB, and Facebook store
","Solmux Carbocisteine Mucolytic, 500 mg capsule",Unauthorized health product labelled to contain a prescription drug,Health products - Product safety,2.0,Public advisory,Health product - Drugs,,Health Canada,General public,public advisory,,,,,,,,,,
75,0,2023-02-16,"
Freestyle Libre Sensor Kits
",Abbott Diabetes Care Ltd.,Freestyle Libre Sensor Kits,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Chemistry,Health product - Medical device - Gastroenterology & Urology,"Abbott Diabetes Care Ltd.
Range Road, Witney, Oxfordshire, Great Britain, OX290YL",Health Canada,health product recall,Type II,,,,,,,,,
76,0,2023-02-16,"
Transport Strut Hoffmann Lrf
",Stryker Gmbh,Transport Strut Hoffmann Lrf,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device,"Stryker Gmbh
Bohnackerweg 1, Selzach, Solothurn, Switzerland, 2545",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
77,0,2023-02-16,"
Delfia Inducer
",Wallac Oy,Delfia Inducer,Medical devices - Labelling and packaging,2.0,Health product recall,Health product - Medical device - Chemistry,"Wallac Oy
Mustionkatu 6, Turku, Finland, 20750",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
