,Date,Item,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Companies,Published by,Audience,Recall class,Recall type,Identification number,Starting date:,Type of communication:,Alert sub-type:,Subcategory:,Hazard classification:,Source of recall:,Recalling firm:,Distribution:,Extent of the product distribution:,CFIA reference number:,Issue:,Audience:,Identification number:,Posting date:
0,2023-02-12,"
Le Fromage au Village brand Le Cru du Clocher raw milk cheddar cheese recalled due to Listeria monocytogenes
",Le Fromage au Village,Le Cru du Clocher raw milk cheddar cheese,Food - Microbial Contamination - Listeria,3.0,Food recall warning,Food - Dairy,Le Fromage au Village Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-02-11,"
MacMillan's Specialty Foods brand McCain 3/8"" Staycrisp Straight Cut Fries recalled due to undeclared gluten and wheat
",MacMillan's Specialty Foods,"McCain 3/8"" Staycrisp Straight Cut Fries",Food - Allergen - Gluten,2.0,Food recall warning,Food - Fruits and vegetables - Frozen,MacMillan's Specialty Foods,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-02-09,"
Sherbon brand Falooda Drink – Mango recalled due to undeclared milk
",Sherbon,Falooda Drink – Mango,Food - Allergen - Milk,2.0,Food recall warning,Food - Beverages - Non-alcoholic,Super Asia Food & Spices,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-02-06,"
Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli
",Mother Dairy,Paneer Fresh Cheese,Food - Microbial Contamination - E. Coli - non-pathogenic,2.0,Notification,Food - Dairy,Mother Dairy,Canadian Food Inspection Agency,"Hotels, restaurants and institutions","Hotels, restaurants and institutions",notification,"
15386
",,,,,,,,,,,,,,
0,2023-02-04,"
Nutrifresh brand Falooda Drinks recalled due to undeclared milk
",Nutrifresh,Falooda Drinks,Food - Allergen - Milk,5.0,Food recall warning,Food - Beverages - Non-alcoholic,Nutrifresh Foods Ltd.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-02-03,"
Nutrifresh brand Falooda Drinks recalled due to undeclared milk
",Nutrifresh,Falooda Drinks,Food - Allergen - Milk,7.0,Food recall warning,Food - Beverages - Non-alcoholic,Nutrifresh West Ltd.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-02-03,"
Apetito HFS brand and Heart to Home Meals brand meatball products recalled due to undeclared egg, milk, and wheat
",Apetito HFS,Meatball products,Food - Allergen - Egg,7.0,Food recall warning,Food - Multiple food items,Apetito HFS Limited,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-02-01,"
Cedar Phoenicia brand Pindjur Vegetable Spread recalled due to pieces of glass
",Cedar Phoenicia,Pindjur Vegetable Spread,Food - Extraneous Material,2.0,Notification,Food - Multiple food items,Groupe Phoenicia Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15380
",,,,,,,,,,,,,,
0,2023-01-27,"
Tohato brand Potato Ring Seaweed Flavor Snack recalled due to undeclared milk
",Tohato,Potato Ring Seaweed Flavor Snack,Food - Allergen - Milk,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Daiso Canada Co. Ltd.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15377
",,,,,,,,,,,,,,
0,2023-01-25,"
Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli
",Mother Dairy,Paneer Fresh Cheese,Food - Microbial Contamination - E. Coli - non-pathogenic,3.0,Notification,Food - Dairy,1228300 Alberta Ltd. (Mother Dairy),Canadian Food Inspection Agency,"Hotels, restaurants and institutions
Retail","Hotels, restaurants and institutions",notification,"
15363
",,,,,,,,,,,,,,
0,2023-01-20,"
Dubon brand Mixed Forest Mushrooms recalled due to insects and mold
",Dubon,Mixed Forest Mushrooms,Food - Extraneous Material,2.0,Notification,Food - Other,Aliments Tousain Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15333
",,,,,,,,,,,,,,
0,2023-01-19,"
Surface-ripened soft and semi-soft cheeses recalled due to Listeria monocytogenes
",Le Fromage au Village,"Soft surface ripened cheese, Semi-soft surface-ripened cheese",Food - Microbial Contamination - Listeria,5.0,Food recall warning,Food - Dairy,Le Fromage au Village Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-01-19,"
Fresh Prep brand Nutty Kale Salad with Goat Cheese and Creamy Maple Dressing recalled due to undeclared sesame
",Fresh Prep,Nutty Kale Salad with Goat Cheese and Creamy Maple Dressing,Food - Allergen - Sesame seeds,2.0,Notification,Food - Fruits and vegetables - Fresh,Fresh Prep Foods Inc.,Canadian Food Inspection Agency,General public,General public,notification,"
15362
",,,,,,,,,,,,,,
0,2023-01-18,"
Summer Fresh brand and Compliments Naturally Simple brand hummus recalled due to pieces of plastic
",Summer Fresh,Hummus,Food - Extraneous Material,3.0,Notification,Food - Other,Summer Fresh Salads Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15356
",,,,,,,,,,,,,,
0,2023-01-18,"
Cedar Phoenicia brand Pindjur Vegetable Spread recalled due to pieces of glass
",Cedar Phoenicia,Pindjur Vegetable Spread,Food - Extraneous Material,2.0,Notification,Food - Multiple food items,Groupe Phoenicia Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15361
",,,,,,,,,,,,,,
0,2023-01-16,"
La Vache à Maillotte brand Mélo-Dieux – Surface-ripened soft cheese recalled due to Listeria monocytogenes
",La Vache à Maillotte,Mélo-Dieux – Surface-ripened soft cheese,Food - Microbial Contamination - Listeria,2.0,Food recall warning,Food - Dairy,Fromagerie La Vache à Maillotte,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-01-14,"
Le Cendré de Notre-Dame brand Semi-soft Surface-ripened Cheese recalled due to Listeria monocytogenes
",Le Cendré de Notre-Dame,Semi-soft Surface-ripened Cheese,Food - Microbial Contamination - Listeria,2.0,Food recall warning,Food - Dairy,Le Fromage au Village Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-01-13,"
Punjab King brand Pure Honey recalled due to presence of metronidazole
",Punjab King,Pure Honey,Food - Chemical - Contamination,3.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Everest Traders Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15274
",,,,,,,,,,,,,,
0,2023-01-13,"
St-Hubert and Cavalier brand Chicken Breast Nuggets recalled due to pieces of wood
",St-Hubert,Chicken Breast Nuggets,Food - Extraneous Material,3.0,Notification,Food - Meat and poultry - Processed,Olymel,Canadian Food Inspection Agency,Retail,Retail,notification,"
15351
",,,,,,,,,,,,,,
0,2023-01-12,"
Kirkland Signature brand Four Cheese and Spinach Manicotti Marinara recalled due to pieces of metal
",Kirkland Signature,Four Cheese and Spinach Manicotti Marinara,Food - Extraneous Material,2.0,Notification,Food - Multiple food items,Costco Wholesale Canada Ltd.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15358
",,,,,,,,,,,,,,
0,2023-01-07,"
Tohato brand Potato Ring Salty Snack Products recalled due to undeclared milk
",Tohato,Potato Ring Salty Snacks,Food - Allergen - Milk,3.0,Food recall warning,Food - Other,Daiso Canada Co. Ltd.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-30,"
Olivia & Leo Gourmet Treats brand Dark 55% Cacao Almond Bark recalled due to undeclared milk
",Olivia & Leo Gourmet Treats,Dark 55% Cacao Almond Bark,Food - Allergen - Milk,2.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",,"
Canadian Food Inspection Agency
",,,food recall warning,,,,,,,,,,,,,,,
0,2022-12-30,"
Sanders brand Dark Chocolate Sea Salt Caramels recalled due to pieces of plastic
",Sanders,Dark Chocolate Sea Salt Caramels,Food - Extraneous Material,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners","Sanders Candy, LLC",Canadian Food Inspection Agency,Retail,Retail,notification,"
15322
",,,,,,,,,,,,,,
0,2022-12-30,"
Sanders brand Dark Chocolate Sea Salt Caramels recalled due to pieces of plastic
",Sanders,Dark Chocolate Sea Salt Caramels,Food - Extraneous Material,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Acema Importations Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15346
",,,,,,,,,,,,,,
0,2022-12-27,"
Igor brand Gorgonzola mild ripened blue-veined cheese recalled due to Listeria monocytogenes
",Igor,Gorgonzola mild ripened blue-veined cheese,Food - Microbial Contamination - Listeria,2.0,Food recall warning,Food - Dairy,Jan K. Overweel Limited,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-24,"
Certain alpha brand Plant-based Breakfast Sandwiches and Burritos recalled due to undeclared milk
",Alpha,Certain Plant-based Breakfast Sandwiches and Burritos,Food - Allergen - Milk,5.0,Food recall warning,Food - Other,"Miso Brothers, Inc. dba Alpha Foods",Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-24,"
The Chocolate Lab brand Chocolate Coffee Beans recalled due to undeclared milk
",The Chocolate Lab,Chocolate Coffee Beans,Food - Allergen - Milk,2.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",The Chocolate Lab Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-24,"
Olivia & Leo Gourmet Treats brand Dark 55% Cacao Almond Bark recalled due to undeclared milk
",Olivia & Leo Gourmet Treats,Dark 55% Cacao Almond Bark ,Food - Allergen - Milk,2.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Olivia & Leo Gourmet Treats,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-23,"
Feast by Circles & Squares brand sandwiches recalled due to undeclared egg
",Feast by Circles & Squares,sandwiches,Food - Allergen - Egg,3.0,Food recall warning,Food - Eggs,Baxter’s Kitchen Inc.,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-12-22,"
Venetian Meats brand Finocchiona Salami Sweet Fennel recalled due to Salmonella
",Venetian Meats,Finocchiona Salami Sweet Fennel,Food - Microbial Contamination - Salmonella,2.0,Food recall warning,Food - Meat and poultry - Processed,Venetian Meat & Salami Co. Ltd.,Canadian Food Inspection Agency,"

General public

",,food recall warning,,,,,,,,,,,,,,,
0,2022-12-20,"
Loop Mission brand Probiotic Soda products recalled due to possible spoilage
",Loop Mission,Probiotic soda products,Food - Microbial Contamination - Non harmful (quality or spoilage),4.0,Notification,Food - Beverages - Non-alcoholic,Jus Loop Inc.,Canadian Food Inspection Agency,"Hotels, restaurants and institutions
Retail","Hotels, restaurants and institutions",notification,"
15324
",,,,,,,,,,,,,,
0,2022-12-19,"
Power Life by Tony Horton brand High Impact Plant Protein Chocolate Flavor recalled due to undeclared milk
",Power Life by Tony Horton,High Impact Plant Protein Chocolate Flavor,Food - Allergen - Milk,2.0,Food recall warning,Food - Other,Power Life Nutrition,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-19,"
Venetian Meats brand Finocchiona Salami Sweet Fennel recalled due to Salmonella
",Venetian Meats,Finocchiona Salami Sweet Fennel,Food - Microbial Contamination - Salmonella,2.0,Food recall warning,Food - Meat and poultry - Processed,Venetian Meat & Salami Co. Ltd.,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-12-16,"
Scotian Isle Baked Goods brand Chicken Pot Pie 5in. recalled due to undeclared egg
",Scotian Isle Baked Goods,Chicken Pot Pie 5in.,Food - Allergen - Egg,2.0,Food recall warning,Food - Multiple food items,Scotian Isle Baked Goods Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-16,"
alpha brand Plant-based Breakfast Sandwich – Meatless Sausage recalled due to undeclared milk
",Alpha,Plant-Based Breakfast Sandwich – Meatless Sausage,Food - Allergen - Milk,2.0,Food recall warning,Food - Other,"Miso Brothers, Inc. dba Alpha Foods",Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-16,"
Igor brand Gorgonzola Dolce recalled due to Listeria monocytogenes
",Igor,Gorgonzola dolce,Food - Microbial Contamination - Listeria,2.0,Food recall warning,Food - Dairy,Jan K. Overweel Limited,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-14,"
Everland brand Organic Coconut Chocolate Bark recalled due to undeclared milk
",Everland,Chocolate products,Food - Allergen - Milk,2.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Jiva Manufacturing & Distribution Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-14,"
Taynton Bay Spirits brand Pickle Vodka recalled due to elevated levels of copper
",Taynton Bay Spirits,Pickle Vodka,Food - Chemical,2.0,Food recall warning,Food - Beverages - Alcoholic,Taynton Bay Spirits,Canadian Food Inspection Agency,"Hotels, restaurants and institutions",,food recall warning,,,,,,,,,,,,,,,
0,2022-12-08,"
Igor brand Gorgonzola mild ripened blue-veined cheese recalled due to Listeria monocytogenes
",Igor,Gorgonzola mild ripened blue-veined cheese,Food - Microbial Contamination - Listeria,2.0,Food recall warning,Food - Dairy,Jan K. Overweel Limited,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-12-02,"
Pinty's Eatwell brand Gluten Free Chicken Nuggets recalled due to pieces of rubber
",Pinty's Eatwell,Gluten Free Chicken Nuggets,Food - Extraneous Material,3.0,Notification,Food - Meat and poultry - Processed,Pinty's Delicious Foods Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15295
",,,,,,,,,,,,,,
0,2022-11-30,"
Alpha brand Plant-Based Breakfast Sandwich - Meatless Sausage recalled due to undeclared milk
",Alpha,Plant-Based Breakfast Sandwich - Meatless Sausage,Food - Allergen - Milk,2.0,Notification,Food - Other,"UNFI Canada Inc.
Miso Brothers, Inc. dba Alpha Foods",Canadian Food Inspection Agency,Retail,Retail,notification,"
15298, 15305
",,,,,,,,,,,,,,
0,2022-11-30,"
Cruzilles brand Acid Mini Pastille – Fruit Jellies recalled due to undeclared milk
",Cruzilles,Acid Mini Pastille – Fruit Jellies,Food - Allergen - Milk,2.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Acema Importations Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-11-30,"
Casa Grande brand Salsa Roja (Mild) recalled due to pieces of metal
",Casa Grande,Salsa Roja (Mild),Food - Extraneous Material,3.0,Notification,Food - Multiple food items,Casa Grande Fine Foods,Canadian Food Inspection Agency,Retail,Retail,notification,"
15299
",,,,,,,,,,,,,,
0,2022-11-25,"
Lebby brand Dark Chocolate Chickpea Snacks recalled due to undeclared milk
",Lebby,Dark Chocolate Chickpea Snacks,Food - Allergen - Milk,2.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Ecoideas Innovations Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-11-24,"
Ground Turkey Extra Lean 98/2 recalled due to pieces of bone
",,Ground Turkey Extra Lean 98/2,Food - Extraneous Material,2.0,Notification,Food - Meat and poultry - Processed,Rowe Beef Co. Ltd.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15254
",,,,,,,,,,,,,,
0,2022-11-19,"
Bliss Balls brand and Everland brand chocolate products recalled due to undeclared milk
",Everland,Chocolate products,Food - Allergen - Milk,12.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Jiva Manufacturing & Distribution Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-11-18,"
Mounet Group brand Labneh – Soft Unripened Cheese in Vegetable Oil recalled due to potential presence of dangerous bacteria
",Mounet Group,Labneh – Soft Unripened Cheese in Vegetable Oil,Food - Microbial Contamination - Clostridium botulinum,2.0,Food recall warning,Food - Dairy,Groupe Mounet Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-11-18,"
Sélection du Pâtissier brand Lemon and Poppyseed Poundcake recalled due to pieces of plastic
",Sélection du Pâtissier,Lemon and Poppyseed Poundcake,Food - Extraneous Material,2.0,Notification,Food - Grain products,Hafner Canada Inc.,Canadian Food Inspection Agency,"Hotels, restaurants and institutions","Hotels, restaurants and institutions",notification,"
15279
",,,,,,,,,,,,,,
0,2022-11-16,"
Lactaid brand 4% Milkfat Min. Cottage Cheese recalled due to plastic
",Lactaid,4% Milkfat Min. Cottage Cheese,Food - Extraneous Material,2.0,Notification,Food - Dairy,Mehadrin Milk Products Inc.,Canadian Food Inspection Agency,"Hotels, restaurants and institutions
Retail","Hotels, restaurants and institutions",notification,"
15242
",,,,,,,,,,,,,,
0,2022-11-16,"
Silk brand Fortified Almond Beverage - Unsweetened recalled due to spoilage
",Silk,Fortified Almond Beverage - Unsweetened,Food - Microbial Contamination - Non harmful (quality or spoilage),2.0,Notification,Food - Beverages - Non-alcoholic,Danone Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15253
",,,,,,,,,,,,,,
0,2022-11-10,"
Hardbite brand Wild Onion & Yogurt Potato Chips recalled due to undeclared milk
",Hardbite,Wild Onion & Yogurt Potato Chips,Food - Allergen - Milk,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Naturally Homegrown Foods Ltd.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15272
",,,,,,,,,,,,,,
0,2022-11-07,"
Seed Ranch Flavor Co. brand Umami Everyday Sauce recalled due to undeclared soy
",Seed Ranch Flavor Co.,Umami Everyday Sauce,Food - Allergen - Soy,2.0,Food recall warning,Food - Condiments,Vegn Haus,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-11-07,"
Tim Hortons brand Soup Base Chicken Noodle recalled due to presence of insects
",Tim Hortons,Soup Base,Food - Extraneous Material,2.0,Notification,Food - Multiple food items,La Cie McCormick Canada,Canadian Food Inspection Agency,"Hotels, restaurants and institutions","Hotels, restaurants and institutions",notification,"
15258
",,,,,,,,,,,,,,
0,2022-11-07,"
Loop Mission brand Sparkling Strawberry Probiotic Soda recalled due to possible spoilage
",Loop Mission,Sparkling Strawberry Probiotic Soda,Food - Microbial Contamination - Non harmful (quality or spoilage),2.0,Notification,Food - Beverages,Jus Loop Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15249
",,,,,,,,,,,,,,
0,2022-11-04,"
Cappola brand Genoa Salami recalled due to undeclared milk and wheat
",Cappola,Genoa Salami,Food - Allergen - Gluten,2.0,Food recall warning,Food - Meat and poultry - Processed,Maple Leaf Foods,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-11-04,"
Seed Ranch Flavor Co. brand Everything But... The Sushi & Dumplings Hot Sauce and Umami Everyday Sauce recalled due to undeclared soy
",Seed Ranch Flavor Co.,"Everything But... The Sushi & Dumplings Hot Sauce, Umami Everyday Sauce",Food - Allergen - Soy,3.0,Food recall warning,Food - Condiments,"Oscar and Libby's Gift Store Inc., Elliot Home + Lifestyle",Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-11-04,"
Bliss Balls brand Chocolate Ginger and Everland brand Chocolate Hazelnuts recalled due to undeclared milk
",Bliss Balls,Chocolate confections,Food - Allergen - Milk,3.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Jiva Manufacturing & Distribution Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-11-03,"
Tiramisu Twist Cookies recalled due to undeclared almond and hazelnut
",,Tiramisu Twist Cookie,Food - Allergen - Tree nut,2.0,Food recall warning,Food - Grain products,Daiso California LLC,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-10-24,"
Family's Choice Distribution brand Tahini Extra Sesame Seed Paste recalled due to Salmonella
",Family's Choice Distribution,Tahini Extra Sesame Seed Paste,Food - Microbial Contamination - Salmonella,2.0,Notification,Food - Condiments,Family's Choice Distribution,Canadian Food Inspection Agency,"Hotels, restaurants and institutions","Hotels, restaurants and institutions",notification,"
15234
",,,,,,,,,,,,,,
0,2022-10-21,"
UNREAL brand dark chocolate coconut minis recalled due to Salmonella
",UNREAL,dark chocolate coconut minis,Food - Microbial Contamination - Salmonella,2.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners","Unreal Brands, Inc.",Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
